structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,2427.0,2744.0,5171.0,1.842752,1.9837490000000002,3.8265010000000004,1317.0518876115723,1383.2395126601198
"Primary somatosensory area, lower limb, layer 5",1646.0,2191.0,3837.0,0.390217,0.350017,0.7402340000000001,4218.165789804135,6259.695957624915
Red nucleus,1150.0,1022.0,2172.0,0.459271,0.453287,0.912558,2503.968245327922,2254.642202401569
"Primary somatosensory area, trunk, layer 6a",511.0,1057.0,1568.0,0.135255,0.13943599999999998,0.27469099999999996,3778.048870651732,7580.5387417883485
Pontine reticular nucleus,769.0,773.0,1542.0,1.4864229999999998,1.5371540000000001,3.0235769999999995,517.3493682484731,502.87739549843405
Midbrain reticular nucleus,666.0,697.0,1363.0,3.2572810000000003,3.231384,6.488664999999999,204.4650123830274,215.69705117064393
"Primary motor area, Layer 5",444.0,646.0,1090.0,1.480383,1.425224,2.905607,299.92238495038106,453.26208371455994
"Pontine reticular nucleus, caudal part",484.0,446.0,930.0,1.756,1.8158419999999997,3.5718419999999997,275.626423690205,245.61608333764727
"Primary motor area, Layer 6a",598.0,308.0,906.0,1.365156,1.250589,2.615745,438.0451757894336,246.28395100228772
Pons,453.0,432.0,885.0,1.7251610000000002,1.6710349999999998,3.396196,262.58418779464637,258.5224127561661
Magnocellular reticular nucleus,416.0,416.0,832.0,0.30385,0.317383,0.6212329999999999,1369.0965937140036,1310.7192256674111
Hypothalamus,425.0,355.0,780.0,1.449173,1.481234,2.930407,293.27071371050937,239.6650360442712
"Retrosplenial area, lateral agranular part, layer 6a",175.0,542.0,717.0,0.223641,0.23301100000000002,0.456652,782.5041025572234,2326.0704430262945
Lateral hypothalamic area,244.0,471.0,715.0,0.9374610000000001,1.072808,2.010269,260.2774942104258,439.0347573843596
Pedunculopontine nucleus,290.0,361.0,651.0,0.552565,0.5710890000000001,1.1236540000000002,524.8251336946785,632.1256406619633
"Primary somatosensory area, lower limb, layer 6a",342.0,295.0,637.0,0.376182,0.33633,0.7125119999999999,909.1344083448969,877.114738500877
