structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
Rhomboid nucleus,0.000125,0.000515625,0.000640625
pyramid,0.0018593750000000001,0.001984375,0.00384375
Lateral hypothalamic area,0.007796875,0.007703125,0.0155
"Accessory olfactory bulb, granular layer",0.00078125,0.0008125000000000001,0.0015937500000000001
pyramidal decussation,0.000125,0.000375,0.0005
"Primary somatosensory area, barrel field, layer 2/3",0.0054062500000000005,0.0054375000000000005,0.010843750000000001
Medial vestibular nucleus,0.0063593750000000004,0.0064687500000000005,0.012828125000000001
Linear nucleus of the medulla,0.00021875,0.000234375,0.00045312499999999997
"Accessory olfactory bulb, mitral layer",0.0009218750000000001,0.001015625,0.0019375
Area postrema,0.0001875,0.0001875,0.000375
Lateral vestibular nucleus,0.00096875,0.001,0.00196875
Lateral mammillary nucleus,0.000234375,0.000234375,0.00046875
"Anterior cingulate area, dorsal part, layer 2/3",0.0021875,0.002359375,0.004546875000000001
Red nucleus,0.00275,0.002921875,0.005671875
Anterior pretectal nucleus,0.00459375,0.0045625,0.00915625
Superior vestibular nucleus,0.001296875,0.0011250000000000001,0.0024218750000000004
Lateral posterior nucleus of the thalamus,0.004765625,0.004390625,0.009156250000000001
Arcuate hypothalamic nucleus,0.000375,0.00025,0.000625
Spinal vestibular nucleus,0.002796875,0.002609375,0.00540625
Lateral preoptic area,0.0018437500000000001,0.001765625,0.003609375
sensory root of the trigeminal nerve,0.002578125,0.002359375,0.0049375
Anterior tegmental nucleus,0.000234375,0.0001875,0.000421875
"Anterolateral visual area, layer 5",0.000703125,0.0005625000000000001,0.001265625
"Temporal association areas, layer 4",0.0009218750000000001,0.001296875,0.0022187500000000002
solitary tract,3.125e-05,4.6875e-05,7.8125e-05
Nucleus raphe pontis,0.00034375,0.000359375,0.000703125
"Dorsal auditory area, layer 6b",0.00015625,9.375e-05,0.00025
"Midbrain reticular nucleus, retrorubral area",0.000453125,0.000421875,0.000875
"Posterior auditory area, layer 6a",0.00025,0.00028125000000000003,0.00053125
"Lateral septal nucleus, caudal (caudodorsal) part",0.00190625,0.001984375,0.003890625
"Primary auditory area, layer 2/3",0.001703125,0.001484375,0.0031875000000000002
"Dorsal auditory area, layer 5",0.001203125,0.00125,0.002453125
Anteroventral nucleus of thalamus,0.0013593750000000001,0.001484375,0.00284375
