label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,97.52426470588236,178.0014705882353,1360.0,193.12205882352941,1304.0,180.0,262646,57.0,3.388106295143695,True
2,283.9042207792208,390.5487012987013,616.0,167.72564935064935,877.0,147.0,103319,57.0,2.9425552517606155,True
3,1219.7462006079027,83.919452887538,658.0,140.6823708206687,709.0,127.0,92569,57.0,2.4681117687793312,True
4,147.29339207048457,336.5251101321586,1135.0,185.78854625550662,897.0,176.0,210870,57.0,3.2594481799154504,True
5,1201.0161453077699,116.0050454086781,991.0,139.04742684157418,664.0,131.0,137796,57.0,2.439428541075969,True
6,313.94761904761907,100.45079365079366,630.0,158.55873015873016,588.0,149.0,99892,57.0,2.781732108043017,True
7,202.05690298507463,405.15625,2144.0,174.72527985074626,1450.0,158.0,374611,57.0,3.06535578684982,True
8,1234.8515742128936,170.87706146926536,667.0,163.75262368815592,845.0,142.0,109223,57.0,2.87285304715559,True
9,1324.9396325459318,264.01312335958005,381.0,132.60629921259843,994.0,122.0,50523,57.0,2.3264263019713294,True
10,1381.0844409695073,63.05785770132916,1279.0,122.50117279124316,409.0,117.0,156679,57.0,2.149143382298741,True
11,1183.976112026359,259.44645799011533,1214.0,133.44728171334432,899.0,124.0,162005,57.0,2.3411803809317577,True
12,111.89421894218943,187.96432964329642,813.0,189.68142681426815,434.0,186.0,154211,57.0,3.3277443300690415,True
13,1205.3019323671497,79.48067632850241,414.0,128.32367149758454,581.0,122.0,53126,57.0,2.251292482409814,True
14,265.7481662591687,95.94865525672371,409.0,175.4278728606357,600.0,162.0,71750,57.0,3.0776819800057527,True
15,360.3641160949868,305.70052770448547,758.0,156.3562005277045,858.0,144.5,118518,57.0,2.7430912373233363,True
16,430.2088772845953,332.2715404699739,383.0,120.9817232375979,346.0,111.0,46336,57.0,2.1224863725857133,True
17,1272.0411522633744,188.4897119341564,243.0,160.31687242798353,569.0,146.0,38957,57.0,2.8125767092579346,True
18,157.34874504623514,292.3910171730515,757.0,190.36856010568033,640.0,179.0,144109,57.0,3.3397993000937953,True
19,1424.3083109919571,94.45576407506702,373.0,124.05361930294906,342.0,116.0,46272,57.0,2.176379286012832,True
20,1205.5901639344263,35.41311475409836,305.0,144.1245901639344,626.0,133.0,43958,57.0,2.5285015818189747,True
21,46.08256880733945,15.412844036697248,109.0,74.79816513761467,155.0,75.0,8153,57.0,1.3122485111839202,False
22,1248.6478873239437,186.28169014084506,142.0,136.83802816901408,253.0,131.0,19431,57.0,2.400667160855684,True
23,156.04825291181365,384.7803660565724,601.0,169.9151414309484,408.0,163.0,102119,57.0,2.980967393520181,True
24,164.1795918367347,410.69795918367345,245.0,150.9142857142857,350.0,151.0,36974,57.0,2.6476190476144024,True
25,1152.3086816720256,362.85530546623795,311.0,134.96463022508038,415.0,125.0,41974,57.0,2.367800530260414,True
26,155.33624454148472,253.50218340611355,229.0,203.9868995633188,418.0,199.0,46713,57.0,3.5787175361922965,True
27,235.4620253164557,39.27215189873418,158.0,136.82911392405063,285.0,124.0,21619,57.0,2.400510770593168,True
28,324.4936386768448,98.18320610687023,393.0,150.0559796437659,340.0,146.0,58972,57.0,2.6325610463772393,True
29,339.08188153310107,284.25783972125436,574.0,132.0261324041812,260.0,128.0,75783,57.0,2.3162479369113957,True
30,1141.1985294117646,94.72058823529412,136.0,128.50735294117646,259.0,123.5,17477,57.0,2.2545149638763333,True
31,1159.0490566037736,93.30943396226415,265.0,103.84528301886793,326.0,98.0,27519,57.0,1.8218470705032586,False
32,1192.3679369250985,273.02365308804207,761.0,136.86990801576871,365.0,131.0,104158,57.0,2.401226456412782,True
33,1392.9012048192772,57.267469879518075,415.0,113.67951807228916,283.0,109.0,47177,57.0,1.9943775100366616,False
34,1191.0820512820512,132.9128205128205,195.0,164.33846153846153,499.0,160.0,32046,57.0,2.8831309041784774,True
35,206.19057171514544,425.1464393179539,997.0,150.86359077231694,312.0,147.0,150411,57.0,2.6467296626675836,True
36,307.0115606936416,392.6994219653179,346.0,141.53179190751445,276.0,138.5,48970,57.0,2.4830138931099324,True
37,163.72672672672672,164.1951951951952,333.0,210.52552552552552,644.0,183.0,70105,57.0,3.693430272371161,True
38,1139.978021978022,358.46153846153845,182.0,114.66483516483517,220.0,109.0,20869,57.0,2.0116637748181403,True
39,1079.4782608695652,461.24347826086955,115.0,139.8521739130435,286.0,134.0,16083,57.0,2.4535469107508443,True
40,1277.3285714285714,205.55714285714285,70.0,190.61428571428573,310.0,181.5,13343,57.0,3.3441102756833563,True
41,1302.202846975089,14.042704626334519,281.0,124.68683274021352,367.0,120.0,35037,57.0,2.187488293684119,True
42,169.55791962174942,422.20567375886526,423.0,144.4208037825059,283.0,140.0,61090,57.0,2.5336983119693426,True
43,17.428571428571427,132.66071428571428,56.0,136.98214285714286,213.0,134.0,7671,57.0,2.4031954887175884,True
44,353.8,414.55555555555554,45.0,175.9111111111111,302.0,179.0,7916,57.0,3.0861598440491664,True
45,1254.8859416445623,249.0026525198939,377.0,140.18037135278516,363.0,132.0,52848,57.0,2.4593047605708636,True
46,1249.05,18.0625,160.0,147.94375,356.0,138.5,23671,57.0,2.5955043859603584,True
47,305.6862745098039,431.29411764705884,51.0,160.62745098039215,248.0,157.0,8192,57.0,2.8180254557914095,True
48,1193.566037735849,387.6981132075472,53.0,144.20754716981133,275.0,137.0,7643,57.0,2.529956967886988,True
49,1238.4149659863945,98.22675736961452,441.0,128.1768707482993,257.0,127.0,56526,57.0,2.2487170306679727,True
50,1201.4814814814815,93.06481481481481,108.0,158.0462962962963,424.0,145.5,17069,57.0,2.7727420402810354,True
51,1185.4923076923078,5.707692307692308,65.0,137.55384615384617,224.0,138.0,8941,57.0,2.413225371115874,True
52,1229.3076923076924,26.435897435897434,39.0,264.53846153846155,452.0,248.0,10317,57.0,4.641025641017499,True
53,1302.8321167883212,17.605839416058394,137.0,109.81751824817518,178.0,107.0,15045,57.0,1.926623127157588,False
