index,axis-0,axis-1,axis-2
0.0,474.0,1731.6161281295356,1353.69324058399
1.0,474.0,1747.8483670550652,1441.2558815484676
2.0,474.0,1740.303805300946,1415.650096201153
3.0,474.0,1732.30199737991,1411.7635037823643
4.0,474.0,1718.58461237242,1443.313489299591
5.0,474.0,1732.7592435468264,1453.1442818882922
6.0,474.0,1723.1570740415834,1422.2801656214397
7.0,474.0,1714.240773786715,1426.852627290603
8.0,474.0,1711.0400506183005,1413.8211115334877
9.0,474.0,1710.1255582844678,1406.2765497793682
10.0,474.0,1721.09946629046,1396.9030033575834
11.0,474.0,1717.4414969551292,1393.702280189169
12.0,474.0,1710.1255582844678,1390.5015570207547
13.0,474.0,1702.3523734468904,1392.33054168842
14.0,474.0,1704.638604281472,1399.8751034425395
15.0,474.0,1699.8375195288504,1402.6185804440374
16.0,474.0,1701.6665041965157,1406.7337959462845
17.0,474.0,1696.408173276978,1414.5069807838622
18.0,474.0,1693.66469627548,1404.9048112786193
19.0,474.0,1686.577380688277,1395.3026417733763
20.0,474.0,1682.690788269488,1398.5033649417906
21.0,474.0,1679.4900651010737,1405.5906805289937
22.0,474.0,1682.46216518603,1412.4493730327388
23.0,474.0,1692.292957774731,1439.6555199642603
24.0,474.0,1688.4063653559422,1443.084866216133
25.0,474.0,1675.1462265153687,1445.3710970507145
26.0,474.0,1702.1237503634322,1438.7410276304274
27.0,474.0,1676.975211183034,1415.4214731176944
28.0,474.0,1672.1741264304123,1420.9084271206905
29.0,474.0,1662.114710758253,1436.683419879304
30.0,474.0,1657.0850029221735,1439.8841430477182
31.0,474.0,1671.4882571800379,1402.389957360579
32.0,474.0,1670.5737648462052,1389.5870646869218
33.0,474.0,1689.7781038566911,1392.559164771878
34.0,474.0,1689.0922346063167,1383.1856183500931
35.0,474.0,1685.434265270986,1382.2711260162605
36.0,474.0,1695.2650578596872,1378.841779764388
37.0,474.0,1694.3505655258546,1371.754464177185
38.0,474.0,1714.9266430370894,1368.7823640922288
39.0,474.0,1712.1831660355915,1369.9254795095196
40.0,474.0,1695.4936809431454,1366.2675101741888
41.0,474.0,1691.6070885243566,1364.6671485899817
42.0,474.0,1726.815043376914,1364.6671485899817
43.0,474.0,1733.4451127972009,1363.0667870057746
44.0,474.0,1749.9059748061889,1334.2602784900457
45.0,474.0,1772.0824139016308,1322.143255066763
46.0,474.0,1775.0545139865872,1305.4537699743169
47.0,474.0,1748.53423630544,1288.0784156314962
48.0,474.0,1741.904166885153,1293.3367465510341
49.0,474.0,1746.9338747212328,1309.797608560022
50.0,474.0,1727.7295357107466,1317.5707933975996
51.0,474.0,1717.8987431220455,1334.4889015735039
52.0,474.0,1693.436073192022,1324.2008628178864
53.0,474.0,1682.2335421025718,1326.9443398193844
54.0,474.0,1674.9176034319105,1316.884924147225
55.0,474.0,1737.788951382906,1307.2827546419821
56.0,474.0,1732.9878666302845,1298.3664543871137
57.0,474.0,1723.842943291958,1296.7660928029065
58.0,474.0,1712.6404122025078,1308.654493142731
59.0,474.0,1708.5251967002607,1324.4294859013446
60.0,474.0,1700.2947656957667,1302.4816698893608
61.0,474.0,1722.699827874667,1342.7193325779979
62.0,474.0,1711.0400506183007,1336.5465093246273
63.0,474.0,1695.036434776229,1328.7733244870496
64.0,474.0,1690.2353500236075,1354.150486750906
65.0,474.0,1687.4918730221095,1342.7193325779979
66.0,474.0,1680.8618036018227,1365.5816409238143
67.0,474.0,1673.3172418477034,1365.124394756898
68.0,474.0,1674.4603572649942,1354.8363560012806
69.0,474.0,1665.7726800935839,1334.0316554065876
70.0,474.0,1672.1741264304123,1321.9146319833048
71.0,474.0,1682.46216518603,1321.6860088998467
72.0,474.0,1709.2110659506352,1295.851600469074
73.0,474.0,1717.8987431220455,1285.7921847969146
74.0,474.0,1713.7835276197986,1287.1639232976636
75.0,474.0,1704.8672273649302,1275.275522957839
76.0,474.0,1699.6088964453922,1270.9316843721338
77.0,474.0,1695.4936809431454,1282.8200847119585
78.0,474.0,1694.8078116927709,1290.593269549536
79.0,474.0,1679.7186881845319,1284.877692463082
80.0,474.0,1680.8618036018227,1291.0505157164523
81.0,474.0,1669.8878955958307,1290.593269549536
82.0,474.0,1661.6574645913367,1287.8497925480383
83.0,474.0,1661.8860876747951,1387.5294569357986
84.0,474.0,1653.427033586843,1336.5465093246276
85.0,474.0,1719.2704816227947,1280.533853877377
86.0,474.0,1714.6980199536313,1280.762476960835
87.0,474.0,1706.2389658656791,1280.533853877377
88.0,474.0,1712.1831660355915,1268.8740766210105
89.0,474.0,1727.7295357107469,1270.4744382052177
90.0,474.0,1725.9005510430814,1274.1324075405485
91.0,474.0,1720.6422201235437,1272.7606690397995
92.0,474.0,1719.2704816227947,1263.1584995345565
93.0,474.0,1715.3838892040058,1251.9559684451062
94.0,474.0,1709.89693520101,1256.2998070308115
95.0,474.0,1736.417212882157,1275.5041460412974
96.0,474.0,1733.9023589641172,1277.1045076255045
97.0,474.0,1736.1885897986988,1280.0766077104606
98.0,474.0,1694.5791886093127,1257.6715455315605
99.0,474.0,1692.7502039416474,1254.6994454466044
100.0,474.0,1701.4378811130578,1247.8407529428594
101.0,474.0,1697.3226656108106,1247.8407529428594
102.0,474.0,1721.5567124573763,1254.9280685300625
103.0,474.0,1734.3596051310335,1291.507761883369
104.0,474.0,1700.0661426123088,1308.6544931427313
105.0,474.0,1686.1201345213606,1312.9983317284366
106.0,474.0,1682.0049190191137,1316.6563010637672
107.0,474.0,1681.7762959356555,1343.862447995289
108.0,474.0,1678.8041958506992,1341.8048402441655
109.0,474.0,1668.5161570950818,1342.2620864110818
110.0,474.0,1664.1723185093767,1346.1486788298705
111.0,474.0,1659.8284799236715,1353.9218636674482
112.0,474.0,1656.8563798387154,1366.038887090731
113.0,474.0,1657.3136260056317,1375.1838104290578
114.0,474.0,1656.399133671799,1382.2711260162607
115.0,474.0,1661.4288415078786,1387.5294569357986
116.0,474.0,1643.3676179146837,1390.0443108538384
117.0,474.0,1639.938271662811,1392.7877878553363
118.0,474.0,1654.798772087592,1394.1595263560853
119.0,474.0,1658.4567414229225,1400.7895957763722
120.0,474.0,1650.2263104184285,1403.9903189447866
121.0,474.0,1655.2560182545083,1410.391765281615
122.0,474.0,1651.1408027522612,1412.2207499492806
123.0,474.0,1656.6277567552572,1406.04792669591
124.0,474.0,1649.540441168054,1427.0812503740613
125.0,474.0,1647.7114565003887,1420.9084271206907
126.0,474.0,1639.709648579353,1426.852627290603
127.0,474.0,1629.4216098237355,1425.4808887898541
128.0,474.0,1629.8788559906518,1430.2819735424755
129.0,474.0,1622.3342942365323,1428.9102350417265
130.0,474.0,1611.8176323974567,1447.428704801838
131.0,474.0,1663.9436954259186,1446.7428355514635
132.0,474.0,1706.9248351160536,1484.694267405519
133.0,474.0,1721.5567124573763,1480.8076749867303
134.0,474.0,1720.1849739566273,1433.2540736274318
135.0,474.0,1737.560328299448,1430.9678427928502
136.0,474.0,1738.7034437167388,1375.641056595974
137.0,474.0,1677.6610804334084,1277.1045076255045
138.0,474.0,1669.4306494289144,1242.3537989398633
139.0,474.0,1643.1389948312253,1300.6526852216957
140.0,474.0,1651.1408027522612,1300.8813083051539
141.0,474.0,1640.1668947462692,1286.4780540472893
142.0,474.0,1643.8248640816,1310.712100893855
143.0,474.0,1635.8230561605642,1318.2566626479743
144.0,474.0,1638.1092869951458,1334.0316554065878
145.0,474.0,1619.8194403184925,1327.630209069759
146.0,474.0,1616.3900940666201,1326.7157167359264
147.0,474.0,1623.9346558207394,1321.686008899847
148.0,474.0,1632.3937099086916,1344.091071078747
149.0,474.0,1623.7060327372812,1336.5465093246276
150.0,474.0,1634.9085638267316,1358.2657022531534
151.0,474.0,1650.2263104184285,1358.7229484200698
152.0,474.0,1653.1984105033848,1347.0631711637034
153.0,474.0,1635.1371869101897,1374.9551873455994
154.0,474.0,1624.6205250711141,1396.9030033575834
155.0,474.0,1615.7042248162456,1420.9084271206907
156.0,474.0,1612.274878564373,1415.4214731176949
157.0,474.0,1600.6151013080066,1423.4232810387307
158.0,474.0,1607.2451707282935,1393.702280189169
159.0,474.0,1590.3270625523892,1402.3899573605793
160.0,474.0,1667.1444185943328,1412.677996116197
161.0,474.0,1704.1813581145557,1338.6041170757512
162.0,474.0,1707.38208128297,1315.9704318133927
163.0,474.0,1682.0049190191137,1229.0936600992898
164.0,474.0,1627.59262515607,1269.788568954843
165.0,474.0,1617.990455650827,1278.7048692097114
166.0,474.0,1607.2451707282933,1312.54108556152
167.0,474.0,1554.8904846163732,1277.5617537924206
168.0,474.0,1566.0930157058233,1403.53307277787
169.0,474.0,1576.838300628357,1383.6428645170095
170.0,474.0,1596.2712627223013,1379.5276490147626
171.0,474.0,1597.8716243065085,1364.667148589982
172.0,474.0,1600.6151013080064,1367.639248674938
173.0,474.0,1608.8455323125004,1363.0667870057746
174.0,474.0,1616.39009406662,1350.9497635824919
175.0,474.0,1618.4477018177433,1361.9236715884838
176.0,474.0,1618.2190787342852,1370.382725676436
177.0,474.0,1621.1911788192413,1378.3845335974718
178.0,474.0,1626.6781328222373,1377.4700412636391
179.0,474.0,1655.5453215769212,1266.7589719754105
180.0,474.0,1661.4798463276068,1253.7771990832857
181.0,474.0,1647.5708039431875,1255.446284169416
182.0,474.0,1665.5598320937033,1256.3735536617107
183.0,474.0,1666.4871015859978,1249.6972133171894
184.0,474.0,1662.2216619214425,1249.6972133171894
185.0,474.0,1620.7143969884553,1287.5346543817284
186.0,474.0,1619.7999046546227,1297.1368238869713
187.0,474.0,1630.08794341024,1299.6516778050113
188.0,474.0,1624.3723663237859,1312.2259473952104
