label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,274.1458773784355,465.492600422833,473.0,190.67019027484145,362.0,189.0,90187,86.0,2.2170952357513922,True
2,579.8041237113403,410.7938144329897,388.0,172.9278350515464,430.0,165.0,67096,86.0,2.010788779666806,True
3,866.6059225512529,122.54897494305239,439.0,210.88610478359908,441.0,199.0,92579,86.0,2.452164009108766,True
4,438.46547884187083,372.2850779510022,898.0,141.78173719376392,265.0,139.0,127320,86.0,1.648624851088361,False
5,389.9941060903733,308.82514734774065,509.0,176.8015717092338,432.0,173.0,89992,86.0,2.055832229174747,True
6,582.1205479452054,288.4328767123288,365.0,169.3095890410959,406.0,162.0,61798,86.0,1.968716151638361,False
7,595.1278195488721,341.1578947368421,266.0,178.0375939849624,393.0,168.0,47358,86.0,2.0702045812180856,True
8,569.830459770115,324.60057471264366,348.0,165.5632183908046,268.0,162.0,57616,86.0,1.9251537022164196,False
9,279.8203592814371,412.4071856287425,167.0,207.4550898203593,375.0,199.0,34645,86.0,2.4122684862804427,True
10,584.1643835616438,375.52054794520546,73.0,168.72602739726028,296.0,165.0,12317,86.0,1.9619305511286522,False
11,401.84090909090907,304.03977272727275,176.0,171.61363636363637,323.0,168.0,30204,86.0,1.9955073995748467,False
12,620.2631578947369,375.81954887218046,133.0,192.0751879699248,363.0,186.0,25546,86.0,2.2334324182523426,True
13,327.1678832116788,383.2554744525547,137.0,207.34306569343065,406.0,203.0,28406,86.0,2.4109658801533667,True
14,295.8791208791209,466.8021978021978,273.0,176.88278388278388,350.0,173.0,48289,86.0,2.056776556774165,True
15,568.8953488372093,411.8565891472868,258.0,157.87209302325581,267.0,154.5,40731,86.0,1.8357220118961888,False
16,578.3355704697987,919.48322147651,149.0,318.0872483221477,742.0,296.0,47395,86.0,3.6986889339741604,True
17,889.5,117.33333333333333,54.0,167.24074074074073,281.0,164.0,9031,86.0,1.9446597760528634,False
18,603.719298245614,163.3859649122807,57.0,216.0,363.0,209.0,12312,86.0,2.5116279069738234,True
19,45.84615384615385,59.34615384615385,52.0,155.46153846153845,417.0,137.0,8084,86.0,1.8076923076902056,False
20,876.9246753246754,911.0892857142857,3080.0,109.71785714285714,311.0,105.0,337931,86.0,1.275789036543367,False
21,570.3426573426574,952.5944055944055,286.0,182.5909090909091,436.0,179.0,52221,86.0,2.1231501057057764,True
22,534.9132075471698,953.7547169811321,530.0,140.82075471698113,264.0,137.5,74635,86.0,1.6374506362420627,False
23,223.0,145.39285714285714,28.0,228.60714285714286,330.0,230.0,6401,86.0,2.6582225913590354,True
24,612.439024390244,378.3536585365854,82.0,166.28048780487805,267.0,168.5,13635,86.0,1.9334940442405197,False
25,229.29166666666666,78.20833333333333,24.0,184.66666666666666,261.0,197.0,4432,86.0,2.1472868217029295,True
26,1321.7209302325582,715.8604651162791,43.0,381.9767441860465,652.0,400.0,16425,86.0,4.441590048669795,True
27,1022.0864197530864,474.3333333333333,81.0,320.8024691358025,588.0,309.0,25985,86.0,3.7302612690166215,True
28,1452.975,205.75,80.0,398.5625,707.0,387.0,31885,86.0,4.634447674413216,True
29,580.0,329.1454545454545,55.0,150.16363636363636,354.0,149.0,8259,86.0,1.7460887949239738,False
30,878.035729567822,965.1335044929397,9348.0,182.0250320924262,434.0,180.0,1701570,86.0,2.1165701406071458,True
31,1265.2727272727273,458.0151515151515,66.0,327.1666666666667,612.0,295.5,21593,86.0,3.8042635658870494,True
32,384.79545454545456,917.625,88.0,319.8863636363636,621.0,303.5,28150,86.0,3.719608879488275,True
33,440.34615384615387,957.9711538461538,104.0,355.78846153846155,783.0,357.5,37002,86.0,4.1370751341633465,True
34,591.7591240875912,968.5182481751825,137.0,236.38686131386862,408.0,237.0,32385,86.0,2.748684433878997,True
35,670.8285714285714,21.285714285714285,35.0,174.62857142857143,249.0,174.0,6112,86.0,2.030564784050795,True
36,390.9824561403509,941.9824561403509,57.0,380.7368421052632,836.0,339.0,21702,86.0,4.427172582614191,True
37,643.68,21.64,25.0,178.52,300.0,170.0,4463,86.0,2.0758139534859583,True
38,597.4722222222222,169.22222222222223,72.0,195.0,320.0,196.0,14040,86.0,2.2674418604624798,True
39,421.5339805825243,958.5436893203884,103.0,326.8543689320388,683.0,296.0,33666,86.0,3.8006321968797527,True
40,1371.344827586207,433.8103448275862,58.0,242.91379310344828,603.0,218.0,14089,86.0,2.8245789895716955,True
41,475.45762711864404,812.771186440678,118.0,264.3474576271187,482.0,244.0,31193,86.0,3.0738076468233873,True
42,45.87179487179487,66.17948717948718,39.0,98.23076923076923,152.0,101.0,3831,86.0,1.1422182468680815,False
43,1346.1527777777778,775.375,72.0,372.0416666666667,998.0,354.5,26787,86.0,4.326065891467838,True
44,743.1333333333333,41.13333333333333,30.0,188.53333333333333,250.0,192.5,5656,86.0,2.1922480620129545,True
45,184.18666666666667,19.466666666666665,75.0,132.61333333333334,239.0,128.0,9946,86.0,1.542015503874176,False
46,1194.5408163265306,413.5816326530612,98.0,391.05102040816325,786.0,375.5,38323,86.0,4.547104888461727,True
47,372.16279069767444,229.32558139534885,43.0,187.37209302325581,262.0,191.0,8057,86.0,2.1787452677097434,True
48,646.3846153846154,44.80769230769231,26.0,181.3846153846154,330.0,185.0,4716,86.0,2.1091234347023775,True
49,1310.4,417.28,50.0,362.58,794.0,331.5,18129,86.0,4.216046511623004,True
50,1379.94,777.5,50.0,327.28,600.0,313.0,16364,86.0,3.8055813953444115,True
51,1009.3380281690141,769.1549295774648,71.0,261.14084507042253,512.0,235.0,18541,86.0,3.036521454303708,True
52,1212.0,538.3965517241379,58.0,275.2068965517241,523.0,258.5,15962,86.0,3.2000801924581874,True
53,579.6818181818181,395.77272727272725,66.0,195.45454545454547,399.0,189.5,12900,86.0,2.27272727272463,True
54,392.3103448275862,909.183908045977,87.0,255.09195402298852,525.0,220.0,22193,86.0,2.966185511891766,True
55,1044.6101694915253,482.0169491525424,59.0,370.40677966101697,652.0,343.0,21854,86.0,4.307055577448677,True
56,1292.5757575757575,463.1818181818182,33.0,448.45454545454544,1039.0,363.0,14799,86.0,5.214587737837488,True
57,578.9126637554585,936.4017467248908,229.0,205.70305676855895,527.0,203.0,47106,86.0,2.3918960089339505,True
58,1382.4927536231885,727.6231884057971,69.0,303.40579710144925,680.0,282.0,20935,86.0,3.52797438489647,True
59,1116.2592592592594,270.74074074074076,81.0,390.17283950617286,733.0,386.0,31604,86.0,4.536893482624642,True
60,1290.536231884058,820.1594202898551,69.0,375.8985507246377,824.0,358.0,25937,86.0,4.370913380513961,True
61,1322.704918032787,624.1639344262295,61.0,210.8360655737705,403.0,186.0,12861,86.0,2.45158215783169,True
62,1423.7714285714285,586.8857142857142,35.0,413.0,822.0,392.0,14455,86.0,4.8023255813897645,True
63,1106.0722891566265,455.48192771084337,83.0,378.1927710843373,541.0,375.0,31390,86.0,4.3975903614406695,True
64,1109.56,437.92,50.0,534.04,865.0,520.5,26702,86.0,6.209767441853244,True
65,347.8,64.925,40.0,164.725,264.0,157.5,6589,86.0,1.9154069767419588,False
66,1481.3636363636363,632.9636363636364,55.0,283.6181818181818,728.0,274.0,15599,86.0,3.2978858350913027,True
67,1349.3333333333333,663.8166666666667,60.0,238.43333333333334,573.0,216.0,14306,86.0,2.772480620151815,True
68,1361.0892857142858,822.5714285714286,56.0,455.92857142857144,815.0,441.0,25532,86.0,5.301495016605132,True
69,1110.8059701492537,540.0746268656717,67.0,214.46268656716418,411.0,206.0,14369,86.0,2.4937521693827303,True
70,1295.7307692307693,735.7692307692307,52.0,286.46153846153845,508.0,279.5,14896,86.0,3.3309481216419226,True
71,907.7857142857143,366.39285714285717,56.0,279.64285714285717,597.0,245.0,15660,86.0,3.2516611295643254,True
72,1023.6883116883117,762.7662337662338,77.0,230.84415584415584,429.0,224.0,17775,86.0,2.6842343702777605,True
