label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,1120.7057057057057,542.7717717717718,333.0,155.34834834834834,650.0,139.0,51731,40.0,3.883708708698999,True
2,373.1825396825397,457.71693121693124,378.0,172.42857142857142,514.0,162.0,65178,40.0,4.310714285703509,True
3,378.7399267399267,409.032967032967,273.0,185.2014652014652,552.0,170.0,50560,40.0,4.630036630025055,True
4,345.20216606498195,368.02166064981947,277.0,205.64259927797835,575.0,178.0,56963,40.0,5.141064981936606,True
5,482.5050505050505,263.3181818181818,198.0,184.36868686868686,353.0,180.0,36505,40.0,4.609217171705648,True
6,1024.1263940520446,586.7769516728624,269.0,152.7472118959108,439.0,146.0,41089,40.0,3.818680297388223,True
7,1089.128048780488,602.0,164.0,138.6341463414634,293.0,131.0,22736,40.0,3.4658536585279203,True
8,363.3581395348837,98.53953488372093,215.0,137.28837209302327,377.0,129.0,29517,40.0,3.432209302317001,True
9,1035.037037037037,695.1481481481482,135.0,261.5407407407407,827.0,175.0,35308,40.0,6.538518518502172,True
10,447.79538904899135,537.2017291066282,347.0,158.9942363112392,346.0,154.0,55171,40.0,3.974855907771043,True
11,1006.28125,611.9375,96.0,161.34375,344.0,148.0,15489,40.0,4.033593749989916,True
12,426.3614457831325,304.4578313253012,83.0,221.84337349397592,446.0,221.0,18413,40.0,5.546084337335532,True
13,1141.3693693693695,317.43243243243245,111.0,229.02702702702703,383.0,229.0,25422,40.0,5.725675675661361,True
14,1092.6373626373627,91.94505494505495,91.0,186.8131868131868,342.0,177.0,17000,40.0,4.670329670317994,True
15,338.0154639175258,413.75773195876286,194.0,179.61340206185568,296.0,177.5,34845,40.0,4.490335051535166,True
16,1144.6037735849056,538.1018867924528,265.0,123.00754716981132,333.0,114.0,32597,40.0,3.075188679237595,True
17,301.9904761904762,297.93333333333334,105.0,242.37142857142857,380.0,239.0,25449,40.0,6.059285714270565,True
18,394.98692810457516,359.1503267973856,153.0,172.8954248366013,257.0,168.0,26453,40.0,4.322385620904226,True
19,1024.328125,473.15625,64.0,236.953125,579.0,215.0,15165,40.0,5.9238281249851905,True
20,1137.8626373626373,560.6208791208791,364.0,161.4313186813187,425.0,135.5,58761,40.0,4.035782967022877,True
21,1074.8370370370371,466.8888888888889,135.0,194.34074074074073,461.0,182.0,26236,40.0,4.858518518506371,True
22,1014.8765432098766,582.0679012345679,162.0,139.91358024691357,240.0,140.5,22666,40.0,3.4978395061640946,True
23,431.3211678832117,394.2335766423358,137.0,156.75182481751824,257.0,157.0,21475,40.0,3.918795620428159,True
24,402.3208333333333,390.0416666666667,240.0,189.60833333333332,530.0,177.0,45506,40.0,4.740208333321482,True
25,1006.3880597014926,533.2835820895523,67.0,167.16417910447763,254.0,170.0,11200,40.0,4.179104477601492,True
26,1068.0183486238532,472.348623853211,109.0,170.9724770642202,293.0,165.0,18636,40.0,4.274311926594819,True
27,1000.9191919191919,642.4242424242424,99.0,165.53535353535352,255.0,157.0,16388,40.0,4.138383838373492,True
28,1025.371794871795,620.0641025641025,78.0,192.14102564102564,393.0,182.5,14987,40.0,4.803525641013632,True
29,415.23880597014926,352.23880597014926,67.0,209.71641791044777,366.0,197.0,14051,40.0,5.242910447748087,True
30,475.81538461538463,252.09230769230768,65.0,156.06153846153848,242.0,148.0,10144,40.0,3.9015384615287076,True
31,1033.8524590163934,513.5573770491803,61.0,160.31147540983608,258.0,161.0,9779,40.0,4.007786885235882,True
32,1026.0,689.6186046511627,215.0,166.76279069767443,274.0,163.0,35854,40.0,4.169069767431438,True
33,945.0975609756098,54.926829268292686,41.0,165.0731707317073,244.0,167.0,6768,40.0,4.126829268282365,True
34,1025.4444444444443,493.27777777777777,36.0,149.11111111111111,230.0,146.0,5368,40.0,3.727777777768458,True
35,421.188679245283,309.20754716981133,53.0,172.45283018867926,288.0,170.0,9140,40.0,4.311320754706203,True
36,1138.9038461538462,482.75,52.0,203.05769230769232,291.0,203.5,10559,40.0,5.076442307679617,True
37,1000.1864406779661,616.3305084745763,118.0,144.11864406779662,222.0,144.5,17006,40.0,3.602966101685908,True
38,398.3796296296296,397.27777777777777,108.0,140.75,258.0,136.0,15201,40.0,3.518749999991203,True
39,1388.0833333333333,122.0,48.0,169.89583333333334,260.0,165.0,8155,40.0,4.247395833322715,True
40,472.56296296296296,259.77037037037036,135.0,177.54814814814816,310.0,172.0,23969,40.0,4.438703703692607,True
41,1030.235294117647,539.5588235294117,34.0,144.85294117647058,216.0,148.0,4925,40.0,3.621323529402711,True
42,1265.5925925925926,280.6666666666667,27.0,112.11111111111111,180.0,111.0,3027,40.0,2.8027777777707708,True
43,362.28712871287127,450.65841584158414,202.0,155.25742574257427,305.0,151.0,31362,40.0,3.881435643554653,True
44,1083.5057471264367,470.0574712643678,87.0,168.60919540229884,255.0,170.0,14669,40.0,4.2152298850469325,True
45,424.7901234567901,392.4691358024691,81.0,163.1604938271605,261.0,165.0,13216,40.0,4.079012345668815,True
46,1229.3947368421052,477.2894736842105,38.0,265.57894736842104,411.0,254.0,10092,40.0,6.639473684193927,True
47,165.6543062200957,706.8032296650717,1672.0,333.502990430622,1529.0,322.0,557617,40.0,8.337574760744705,True
48,1250.437159709619,103.39768602540835,4408.0,134.12273139745918,292.0,132.0,591213,40.0,3.3530682849280966,True
49,377.17241379310343,414.7586206896552,29.0,217.68965517241378,361.0,209.0,6313,40.0,5.442241379296739,True
50,512.1025641025641,53.64102564102564,39.0,98.43589743589743,163.0,105.0,3839,40.0,2.4608974358912836,True
51,1041.2916666666667,702.7916666666666,72.0,123.68055555555556,222.0,122.0,8905,40.0,3.0920138888811586,True
52,1017.9401709401709,478.36752136752136,117.0,151.48717948717947,241.0,152.0,17724,40.0,3.7871794871700186,True
53,530.9545454545455,72.36363636363636,44.0,104.75,191.0,102.5,4609,40.0,2.618749999993453,True
54,438.46875,405.34375,32.0,184.34375,300.0,188.5,5899,40.0,4.608593749988478,True
55,709.3277919863598,240.2766410912191,2346.0,175.01406649616368,396.0,172.0,410583,40.0,4.375351662393153,True
56,434.3207547169811,356.75471698113205,53.0,251.67924528301887,406.0,249.0,13339,40.0,6.291981132059742,True
57,1011.7464788732394,616.8450704225352,71.0,136.77464788732394,220.0,132.0,9711,40.0,3.4193661971745497,True
58,433.25,472.1333333333333,60.0,196.68333333333334,366.0,181.0,11801,40.0,4.917083333321041,True
59,1286.6784110535407,709.1402417962004,2895.0,121.74300518134714,264.0,120.0,352446,40.0,3.0435751295260696,True
60,1460.876712328767,203.54794520547946,73.0,188.34246575342465,295.0,186.0,13749,40.0,4.7085616438238445,True
61,9.35014005602241,727.4453781512605,1428.0,110.02591036414566,253.0,110.0,157117,40.0,2.750647759096765,True
62,589.9354838709677,159.03225806451613,62.0,153.66129032258064,224.0,149.5,9527,40.0,3.841532258054912,True
63,1128.857142857143,506.51428571428573,35.0,126.8,173.0,127.0,4438,40.0,3.1699999999920747,True
64,1422.2566371681417,786.7777956556718,12430.0,198.11399839098954,378.0,199.0,2462557,40.0,4.952849959762356,True
65,473.38235294117646,405.3235294117647,34.0,227.05882352941177,339.0,224.5,7720,40.0,5.676470588221103,True
66,457.625,415.21875,32.0,135.125,239.0,130.5,4324,40.0,3.3781249999915546,True
67,466.8723404255319,183.87234042553192,47.0,90.93617021276596,157.0,87.0,4274,40.0,2.2734042553134652,True
68,453.825,299.15,40.0,207.825,298.0,193.5,8313,40.0,5.19562499998701,True
69,340.1448189762796,819.0615576682992,10413.0,228.35993469701336,593.0,228.0,2377912,40.0,5.708998367411061,True
70,1024.0,58.08695652173913,46.0,146.93478260869566,249.0,142.5,6759,40.0,3.673369565208208,True
71,409.6551724137931,369.0,29.0,151.24137931034483,202.0,151.0,4386,40.0,3.7810344827491678,True
72,1045.375,489.7916666666667,24.0,143.41666666666666,184.0,144.0,3442,40.0,3.5854166666577028,True
73,365.09302325581393,357.69767441860466,43.0,166.41860465116278,270.0,161.0,7156,40.0,4.160465116268668,True
74,1289.3243243243244,477.97297297297297,37.0,215.32432432432432,336.0,207.0,7967,40.0,5.38310810809465,True
75,785.4204545454545,117.82954545454545,88.0,297.5113636363636,610.0,280.5,26181,40.0,7.437784090890496,True
76,411.7352941176471,275.6764705882353,34.0,209.88235294117646,293.0,211.0,7136,40.0,5.247058823516293,True
77,1247.8,419.44,25.0,189.0,317.0,176.0,4725,40.0,4.724999999988187,True
78,1332.3103448275863,397.55172413793105,29.0,181.3793103448276,254.0,180.0,5260,40.0,4.534482758609354,True
79,366.1214953271028,602.4766355140187,107.0,325.57943925233644,534.0,331.0,34837,40.0,8.139485981288061,True
80,534.7535211267606,702.330985915493,142.0,168.55633802816902,396.0,166.5,23935,40.0,4.21390845069369,True
81,1018.1888888888889,624.3222222222222,90.0,145.14444444444445,237.0,142.5,13063,40.0,3.6286111111020394,True
82,452.55882352941177,397.2647058823529,34.0,161.76470588235293,267.0,160.0,5500,40.0,4.044117647048712,True
83,76.61224489795919,86.89795918367346,49.0,100.22448979591837,198.0,100.0,4911,40.0,2.505612244891695,True
84,383.2415730337079,452.2752808988764,178.0,189.8370786516854,463.0,176.0,33791,40.0,4.74592696628027,True
85,1004.1379310344828,561.5172413793103,29.0,149.3793103448276,187.0,157.0,4332,40.0,3.734482758611353,True
86,389.40384615384613,358.61538461538464,52.0,161.05769230769232,248.0,160.0,8375,40.0,4.026442307682242,True
87,995.2028985507246,645.536231884058,69.0,152.71014492753622,223.0,154.0,10537,40.0,3.817753623178861,True
