structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Anteromedial visual area, layer 1",0.0,0.0,0.0,0.0371909999999999,0.030094,0.067285,0.0,0.0
"Anteromedial visual area, layer 2/3",0.0,0.0,0.0,0.049145,0.0376499999999999,0.086795,0.0,0.0
"Anteromedial visual area, layer 4",0.0,0.0,0.0,0.012355,0.0098859999999999,0.0222409999999999,0.0,0.0
"Anteromedial visual area, layer 5",8.0,58.0,66.0,0.042851,0.036455,0.079306,186.69342605773494,1591.0026059525442
"Anteromedial visual area, layer 6a",1.0,12.0,13.0,0.024227,0.022195,0.046422,41.27626202171132,540.6623113313809
"Anteromedial visual area, layer 6b",0.0,1.0,1.0,0.00428,0.0037099999999999,0.00799,0.0,269.5417789757485
Anteroventral nucleus of thalamus,0.0,0.0,0.0,0.166185,0.177584,0.343769,0.0,0.0
Anteroventral periventricular nucleus,1.0,3.0,4.0,0.025573,0.0249759999999999,0.050549,39.10374222813123,120.11531069827082
Anteroventral preoptic nucleus,0.0,1.0,1.0,0.013805,0.013163,0.026968,0.0,75.97052343690649
Arcuate hypothalamic nucleus,0.0,3.0,3.0,0.055194,0.051931,0.107125,0.0,57.768962661993804
Area postrema,10.0,48.0,58.0,0.0198659999999999,0.0195119999999999,0.0393779999999999,503.3725963958547,2460.024600246015
Area prostriata,0.0,0.0,0.0,0.0494929999999999,0.044403,0.093896,0.0,0.0
Barrington's nucleus,5.0,30.0,35.0,0.0031839999999999,0.003506,0.00669,1570.3517587940191,8556.759840273817
"Basolateral amygdalar nucleus, anterior part",0.0,0.0,0.0,0.1315629999999999,0.126414,0.257977,0.0,0.0
"Basolateral amygdalar nucleus, posterior part",0.0,0.0,0.0,0.165595,0.122138,0.287733,0.0,0.0
"Basolateral amygdalar nucleus, ventral part",0.0,0.0,0.0,0.069913,0.0696239999999999,0.139537,0.0,0.0
"Basomedial amygdalar nucleus, anterior part",116.0,0.0,116.0,0.132509,0.121447,0.2539559999999999,875.4122361499974,0.0
"Basomedial amygdalar nucleus, posterior part",2.0,0.0,2.0,0.153083,0.122079,0.275162,13.064807979984714,0.0
Bed nuclei of the stria terminalis,0.0,7.0,7.0,0.2650869999999999,0.272939,0.5380259999999999,0.0,25.646756234909635
Bed nucleus of the accessory olfactory tract,0.0,0.0,0.0,0.004748,0.005007,0.009755,0.0,0.0
Bed nucleus of the anterior commissure,0.0,0.0,0.0,0.001487,0.0015609999999999,0.003048,0.0,0.0
Caudoputamen,21.0,0.0,21.0,6.593003,6.380744,12.973747,3.1851949710928387,0.0
"Central amygdalar nucleus, capsular part",2.0,0.0,2.0,0.0497979999999999,0.0495059999999999,0.0993039999999999,40.16225551226965,0.0
"Central amygdalar nucleus, lateral part",0.0,1.0,1.0,0.04171,0.0415489999999999,0.083259,0.0,24.06796794146676
"Central amygdalar nucleus, medial part",113.0,0.0,113.0,0.116252,0.1147059999999999,0.230958,972.0262877197812,0.0
Central lateral nucleus of the thalamus,0.0,0.0,0.0,0.100849,0.1013599999999999,0.2022089999999999,0.0,0.0
Central linear nucleus raphe,0.0,0.0,0.0,0.014053,0.014428,0.028481,0.0,0.0
Central medial nucleus of the thalamus,0.0,0.0,0.0,0.1120719999999999,0.1120589999999999,0.2241309999999999,0.0,0.0
Cerebellum,4.0,1.0,5.0,0.135453,0.128469,0.263922,29.53053826788628,7.783979014392577
Claustrum,0.0,0.0,0.0,0.126422,0.1216719999999999,0.2480939999999999,0.0,0.0
Copula pyramidis,2.0,1.0,3.0,0.4032779999999999,0.349417,0.7526949999999999,4.959358060692625,2.8619099814834428
"Cortical amygdalar area, anterior part",329.0,0.0,329.0,0.133787,0.127707,0.261494,2459.132800645803,0.0
"Cortical amygdalar area, posterior part, lateral zone",0.0,0.0,0.0,0.266957,0.2281099999999999,0.495067,0.0,0.0
"Cortical amygdalar area, posterior part, medial zone",7.0,0.0,7.0,0.285232,0.2208679999999999,0.5061,24.541425926964717,0.0
Cortical subplate,7.0,0.0,7.0,0.0842619999999999,0.07324,0.1575019999999999,83.07422088248568,0.0
