epoch,accuracy,loss,val_accuracy,val_loss
0,0.9969465732574463,0.009762037545442581,1.0,1.1920930376163597e-07
1,1.0,0.0005817798082716763,1.0,1.1920930376163597e-07
2,1.0,0.00016782572492957115,1.0,1.1920930376163597e-07
3,1.0,0.00010083563392981887,1.0,1.3472286752858054e-07
4,1.0,5.812673407490365e-05,1.0,1.5350246940215584e-07
5,1.0,4.9347709136782214e-05,1.0,1.6901610422337399e-07
6,1.0,5.3104711696505547e-05,1.0,1.988187108281636e-07
7,1.0,4.244897354510613e-05,1.0,1.8942883173167502e-07
8,1.0,2.9243457902339287e-05,1.0,1.9718567045856616e-07
9,1.0,2.5715329684317112e-05,1.0,1.6656657919611462e-07
10,1.0,2.4496615878888406e-05,1.0,1.771811497519593e-07
11,1.0,1.7152760847238824e-05,1.0,1.559519944294152e-07
12,1.0,1.8781120161293074e-05,1.0,1.5186945745426783e-07
13,1.0,9.850819878920447e-06,1.0,1.4452089658334444e-07
14,1.0,1.2199262528156396e-05,1.0,1.4247964941205282e-07
15,1.0,7.309479315154022e-06,1.0,1.420713999777945e-07
16,1.0,6.802700227126479e-06,1.0,1.4043837381905178e-07
17,1.0,6.547755674546352e-06,1.0,1.392136255162768e-07
18,1.0,5.5652635637670755e-06,1.0,1.3390635444920918e-07
19,1.0,7.86854070611298e-06,1.0,1.3390635444920918e-07
20,1.0,3.9857795854914e-06,1.0,1.3064033055343316e-07
21,1.0,4.3658269532897975e-06,1.0,1.2900733281639987e-07
22,1.0,3.6998549148847815e-06,1.0,1.294155822506582e-07
23,1.0,3.6043566069565713e-06,1.0,1.2819083394788322e-07
24,1.0,3.850947905448265e-06,1.0,1.265578219999952e-07
25,1.0,4.812719907931751e-06,1.0,1.2574132313147857e-07
26,1.0,2.950235966636683e-06,1.0,1.2410831118359056e-07
27,1.0,2.70586656370142e-06,1.0,1.232918123150739e-07
28,1.0,2.2076737877796404e-06,1.0,1.2451656061784888e-07
29,1.0,2.251037130918121e-06,1.0,1.232918123150739e-07
30,1.0,2.8798626772186253e-06,1.0,1.2247531344655727e-07
31,1.0,1.2599437013705028e-06,1.0,1.2247531344655727e-07
32,1.0,1.2890194511783193e-06,1.0,1.2125055093292758e-07
33,1.0,1.7518638060209923e-06,1.0,1.2125055093292758e-07
34,1.0,1.5087514384504175e-06,1.0,1.2084230149866926e-07
35,1.0,9.681532446847996e-07,1.0,1.2165881457804062e-07
36,1.0,1.155475615632895e-06,1.0,1.2125055093292758e-07
37,1.0,7.772748062961909e-07,1.0,1.2084230149866926e-07
38,1.0,1.097558083529293e-06,1.0,1.2043405206441093e-07
39,1.0,1.2356897514109733e-06,1.0,1.2084230149866926e-07
40,1.0,1.2028407354591764e-06,1.0,1.2084230149866926e-07
41,1.0,1.5749478734505828e-06,1.0,1.2084230149866926e-07
42,1.0,9.715780606711633e-07,1.0,1.200258026301526e-07
43,1.0,7.919726385807735e-07,1.0,1.200258026301526e-07
44,1.0,5.93727747855155e-07,1.0,1.1920930376163597e-07
45,1.0,6.850917770861997e-07,1.0,1.200258026301526e-07
46,1.0,5.38126244009618e-07,1.0,1.196175531958943e-07
47,1.0,6.642543439738802e-07,1.0,1.196175531958943e-07
48,1.0,6.053321612853324e-07,1.0,1.196175531958943e-07
49,1.0,5.046842375122651e-07,1.0,1.1920930376163597e-07
50,1.0,6.542500159412157e-07,1.0,1.1920930376163597e-07
51,1.0,4.6878511739123496e-07,1.0,1.196175531958943e-07
52,1.0,5.408124934547232e-07,1.0,1.2247531344655727e-07
53,1.0,4.982242103324097e-07,1.0,1.1920930376163597e-07
54,1.0,5.648836918226152e-07,1.0,1.1920930376163597e-07
55,1.0,4.891713274446374e-07,1.0,1.1920930376163597e-07
56,1.0,4.065862810875842e-07,1.0,1.1920930376163597e-07
57,1.0,4.7552344994983287e-07,1.0,1.1920930376163597e-07
58,1.0,3.3706240287756373e-07,1.0,1.1920930376163597e-07
59,1.0,4.023551696263894e-07,1.0,1.1920930376163597e-07
60,1.0,4.10090478908387e-07,1.0,1.1920930376163597e-07
61,1.0,2.552081639350945e-07,1.0,1.196175531958943e-07
62,1.0,3.23549159020331e-07,1.0,1.1920930376163597e-07
