structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Anteromedial visual area, layer 4",0.0,0.0,0.0,0.0038669999999999,0.003009,0.006876,0.0,0.0
"Anteromedial visual area, layer 5",0.0,0.0,0.0,0.014232,0.011186,0.025418,0.0,0.0
"Anteromedial visual area, layer 6a",0.0,0.0,0.0,0.008669,0.006846,0.015515,0.0,0.0
"Anteromedial visual area, layer 6b",0.0,0.0,0.0,0.001485,0.0012,0.002685,0.0,0.0
Anteroventral nucleus of thalamus,0.0,0.0,0.0,0.036913,0.03342,0.070333,0.0,0.0
Anteroventral periventricular nucleus,0.0,0.0,0.0,0.0129319999999999,0.013422,0.026354,0.0,0.0
Anteroventral preoptic nucleus,0.0,0.0,0.0,0.0064719999999999,0.0067519999999999,0.013224,0.0,0.0
Arcuate hypothalamic nucleus,7.0,0.0,7.0,0.0265539999999999,0.026593,0.053147,263.61376817052144,0.0
Area postrema,0.0,0.0,0.0,0.004312,0.004813,0.009125,0.0,0.0
Area prostriata,0.0,0.0,0.0,0.020016,0.020176,0.040192,0.0,0.0
Barrington's nucleus,0.0,0.0,0.0,0.00142,0.0014089999999999,0.002829,0.0,0.0
"Basolateral amygdalar nucleus, anterior part",0.0,0.0,0.0,0.0439699999999999,0.0550849999999999,0.0990549999999999,0.0,0.0
"Basolateral amygdalar nucleus, posterior part",0.0,0.0,0.0,0.046388,0.053144,0.099532,0.0,0.0
"Basolateral amygdalar nucleus, ventral part",0.0,0.0,0.0,0.021372,0.02916,0.0505319999999999,0.0,0.0
"Basomedial amygdalar nucleus, anterior part",0.0,0.0,0.0,0.039746,0.052042,0.091788,0.0,0.0
"Basomedial amygdalar nucleus, posterior part",0.0,0.0,0.0,0.0404109999999999,0.0529679999999999,0.0933789999999999,0.0,0.0
Bed nuclei of the stria terminalis,0.0,0.0,0.0,0.093649,0.1030359999999999,0.196685,0.0,0.0
Bed nucleus of the accessory olfactory tract,0.0,0.0,0.0,0.001544,0.001743,0.003287,0.0,0.0
Bed nucleus of the anterior commissure,0.0,0.0,0.0,0.0004869999999999,0.000536,0.001023,0.0,0.0
Caudoputamen,0.0,0.0,0.0,2.311298,1.976605,4.287903,0.0,0.0
"Central amygdalar nucleus, capsular part",0.0,0.0,0.0,0.018971,0.0228489999999999,0.0418199999999999,0.0,0.0
"Central amygdalar nucleus, lateral part",0.0,0.0,0.0,0.01747,0.020177,0.037647,0.0,0.0
"Central amygdalar nucleus, medial part",0.0,0.0,0.0,0.045256,0.0581379999999999,0.1033939999999999,0.0,0.0
Central lateral nucleus of the thalamus,0.0,0.0,0.0,0.035205,0.0312869999999999,0.066492,0.0,0.0
Central linear nucleus raphe,0.0,0.0,0.0,0.0071369999999999,0.0078099999999999,0.0149469999999999,0.0,0.0
Central medial nucleus of the thalamus,0.0,0.0,0.0,0.021443,0.023188,0.044631,0.0,0.0
Cerebellum,0.0,0.0,0.0,0.0548569999999999,0.057615,0.1124719999999999,0.0,0.0
Claustrum,0.0,0.0,0.0,0.0527619999999999,0.04266,0.0954219999999999,0.0,0.0
Copula pyramidis,0.0,0.0,0.0,0.1469649999999999,0.150391,0.2973559999999999,0.0,0.0
"Cortical amygdalar area, anterior part",0.0,0.0,0.0,0.040623,0.044774,0.085397,0.0,0.0
"Cortical amygdalar area, posterior part, lateral zone",2.0,0.0,2.0,0.076481,0.085716,0.1621969999999999,26.150285691871186,0.0
"Cortical amygdalar area, posterior part, medial zone",0.0,0.0,0.0,0.0831689999999999,0.093097,0.1762659999999999,0.0,0.0
Cortical subplate,0.0,0.0,0.0,0.025445,0.0268829999999999,0.052328,0.0,0.0
Crus 1,0.0,10.0,10.0,0.44178,0.389526,0.831306,0.0,25.672227271093586
Crus 2,9.0,2.0,11.0,0.39996,0.346502,0.746462,22.502250225022504,5.77197245614744
Cuneate nucleus,0.0,0.0,0.0,0.0273869999999999,0.0270569999999999,0.0544439999999999,0.0,0.0
Cuneiform nucleus,0.0,0.0,0.0,0.044215,0.043552,0.087767,0.0,0.0
Declive (VI),0.0,0.0,0.0,0.2201,0.231952,0.452052,0.0,0.0
"Dentate gyrus, granule cell layer",0.0,0.0,0.0,0.1162089999999999,0.108017,0.2242259999999999,0.0,0.0
"Dentate gyrus, molecular layer",0.0,0.0,0.0,0.310778,0.2898449999999999,0.6006229999999999,0.0,0.0
"Dentate gyrus, polymorph layer",0.0,0.0,0.0,0.049768,0.046758,0.096526,0.0,0.0
Dentate nucleus,0.0,0.0,0.0,0.018694,0.0198789999999999,0.0385729999999999,0.0,0.0
Diagonal band nucleus,0.0,0.0,0.0,0.051585,0.054943,0.106528,0.0,0.0
"Dorsal auditory area, layer 1",0.0,0.0,0.0,0.0171979999999999,0.0177559999999999,0.034954,0.0,0.0
"Dorsal auditory area, layer 2/3",0.0,0.0,0.0,0.026163,0.026022,0.0521849999999999,0.0,0.0
"Dorsal auditory area, layer 4",0.0,0.0,0.0,0.009811,0.0096569999999999,0.019468,0.0,0.0
"Dorsal auditory area, layer 5",0.0,0.0,0.0,0.024016,0.023395,0.0474109999999999,0.0,0.0
"Dorsal auditory area, layer 6a",0.0,0.0,0.0,0.012424,0.012003,0.0244269999999999,0.0,0.0
"Dorsal auditory area, layer 6b",0.0,0.0,0.0,0.002045,0.001963,0.0040079999999999,0.0,0.0
Dorsal cochlear nucleus,0.0,0.0,0.0,0.030979,0.037015,0.067994,0.0,0.0
Dorsal motor nucleus of the vagus nerve,0.0,0.0,0.0,0.016711,0.015974,0.032685,0.0,0.0
Dorsal nucleus raphe,0.0,0.0,0.0,0.01401,0.0172709999999999,0.0312809999999999,0.0,0.0
"Dorsal part of the lateral geniculate complex, core",0.0,0.0,0.0,0.036358,0.03137,0.067728,0.0,0.0
"Dorsal part of the lateral geniculate complex, ipsilateral zone",0.0,0.0,0.0,0.007895,0.007017,0.0149119999999999,0.0,0.0
"Dorsal part of the lateral geniculate complex, shell",0.0,0.0,0.0,0.01619,0.0147649999999999,0.0309549999999999,0.0,0.0
Dorsal peduncular area,0.0,0.0,0.0,0.040285,0.040651,0.080936,0.0,0.0
Dorsal premammillary nucleus,0.0,0.0,0.0,0.0124319999999999,0.011746,0.0241779999999999,0.0,0.0
Dorsal tegmental nucleus,0.0,0.0,0.0,0.010967,0.010905,0.021872,0.0,0.0
Dorsal terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.000847,0.000837,0.001684,0.0,0.0
Dorsomedial nucleus of the hypothalamus,0.0,0.0,0.0,0.037898,0.036028,0.0739259999999999,0.0,0.0
Ectorhinal area/Layer 1,0.0,0.0,0.0,0.0219399999999999,0.0197579999999999,0.041698,0.0,0.0
Ectorhinal area/Layer 2/3,0.0,2.0,2.0,0.040511,0.035112,0.075623,0.0,56.96058327637275
Ectorhinal area/Layer 5,0.0,0.0,0.0,0.045972,0.0378919999999999,0.083864,0.0,0.0
Ectorhinal area/Layer 6a,0.0,0.0,0.0,0.034017,0.027406,0.061423,0.0,0.0
Ectorhinal area/Layer 6b,0.0,0.0,0.0,0.0050859999999999,0.004079,0.009165,0.0,0.0
Edinger-Westphal nucleus,0.0,0.0,0.0,0.0018269999999999,0.002761,0.004588,0.0,0.0
"Endopiriform nucleus, dorsal part",2.0,0.0,2.0,0.1589239999999999,0.136813,0.2957369999999999,12.584631647831676,0.0
"Endopiriform nucleus, ventral part",0.0,0.0,0.0,0.060708,0.070008,0.130716,0.0,0.0
"Entorhinal area, lateral part, layer 1",1.0,6.0,7.0,0.085648,0.080852,0.1664999999999999,11.67569587147394,74.20966704596053
"Entorhinal area, lateral part, layer 2",0.0,1.0,1.0,0.140452,0.128991,0.269443,0.0,7.752478855113923
"Entorhinal area, lateral part, layer 3",0.0,0.0,0.0,0.114078,0.1018449999999999,0.2159229999999999,0.0,0.0
"Entorhinal area, lateral part, layer 5",0.0,0.0,0.0,0.12103,0.10651,0.22754,0.0,0.0
"Entorhinal area, lateral part, layer 6a",0.0,0.0,0.0,0.0835959999999999,0.0747299999999999,0.1583259999999999,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 1",5.0,0.0,5.0,0.090517,0.087868,0.178385,55.23824254007535,0.0
"Entorhinal area, medial part, dorsal zone, layer 2",0.0,0.0,0.0,0.0904659999999999,0.087619,0.178085,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 3",0.0,0.0,0.0,0.07008,0.068313,0.138393,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 5",0.0,0.0,0.0,0.06408,0.063,0.12708,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 6",0.0,0.0,0.0,0.043302,0.042598,0.0859,0.0,0.0
Ethmoid nucleus of the thalamus,0.0,0.0,0.0,0.022764,0.02098,0.043744,0.0,0.0
External cuneate nucleus,0.0,0.0,0.0,0.0146869999999999,0.014594,0.0292809999999999,0.0,0.0
Facial motor nucleus,0.0,0.0,0.0,0.070618,0.074946,0.145564,0.0,0.0
Fasciola cinerea,0.0,0.0,0.0,0.003864,0.003812,0.007676,0.0,0.0
Fastigial nucleus,0.0,0.0,0.0,0.031353,0.033354,0.064707,0.0,0.0
Field CA1,0.0,0.0,0.0,0.720465,0.646633,1.367098,0.0,0.0
Field CA2,0.0,0.0,0.0,0.035501,0.031059,0.06656,0.0,0.0
Field CA3,0.0,0.0,0.0,0.4788909999999999,0.428017,0.906908,0.0,0.0
Fields of Forel,0.0,0.0,0.0,0.0200079999999999,0.0210549999999999,0.0410629999999999,0.0,0.0
Flocculus,0.0,0.0,0.0,0.062966,0.076929,0.139895,0.0,0.0
Folium-tuber vermis (VII),0.0,0.0,0.0,0.0604829999999999,0.064594,0.125077,0.0,0.0
"Frontal pole, layer 1",0.0,0.0,0.0,0.017248,0.014554,0.031802,0.0,0.0
"Frontal pole, layer 2/3",0.0,0.0,0.0,0.014972,0.013235,0.028207,0.0,0.0
"Frontal pole, layer 5",0.0,0.0,0.0,0.02196,0.020765,0.042725,0.0,0.0
"Frontal pole, layer 6a",0.0,0.0,0.0,0.0067859999999999,0.006398,0.013184,0.0,0.0
"Frontal pole, layer 6b",0.0,0.0,0.0,6e-05,5.5e-05,0.0001149999999999,0.0,0.0
Fundus of striatum,0.0,0.0,0.0,0.028199,0.0309799999999999,0.0591789999999999,0.0,0.0
Gigantocellular reticular nucleus,2.0,2.0,4.0,0.318496,0.329536,0.6480319999999999,6.279513714457952,6.069139638764809
"Globus pallidus, external segment",0.0,0.0,0.0,0.152945,0.14417,0.297115,0.0,0.0
"Globus pallidus, internal segment",0.0,0.0,0.0,0.034019,0.039244,0.073263,0.0,0.0
Gracile nucleus,0.0,0.0,0.0,0.0066339999999999,0.0066339999999999,0.0132679999999999,0.0,0.0
"Gustatory areas, layer 1",0.0,0.0,0.0,0.0216659999999999,0.020225,0.041891,0.0,0.0
"Gustatory areas, layer 2/3",0.0,0.0,0.0,0.0422219999999999,0.037489,0.079711,0.0,0.0
"Gustatory areas, layer 4",0.0,0.0,0.0,0.014939,0.0127269999999999,0.0276659999999999,0.0,0.0
"Gustatory areas, layer 5",0.0,0.0,0.0,0.053284,0.0440599999999999,0.0973439999999999,0.0,0.0
"Gustatory areas, layer 6a",0.0,0.0,0.0,0.041864,0.033517,0.075381,0.0,0.0
"Gustatory areas, layer 6b",0.0,0.0,0.0,0.0037159999999999,0.002996,0.0067119999999999,0.0,0.0
Hippocampal formation,0.0,0.0,0.0,0.0274379999999999,0.0271639999999999,0.054602,0.0,0.0
Hippocampo-amygdalar transition area,0.0,0.0,0.0,0.028473,0.0294329999999999,0.057906,0.0,0.0
Hypoglossal nucleus,0.0,0.0,0.0,0.028265,0.0276009999999999,0.055866,0.0,0.0
Hypothalamus,3.0,0.0,3.0,0.2273079999999999,0.234927,0.4622349999999999,13.197951677899596,0.0
Induseum griseum,0.0,0.0,0.0,0.0083249999999999,0.0091679999999999,0.0174929999999999,0.0,0.0
"Inferior colliculus, central nucleus",0.0,0.0,0.0,0.087964,0.08796,0.175924,0.0,0.0
"Inferior colliculus, dorsal nucleus",0.0,0.0,0.0,0.117625,0.120547,0.238172,0.0,0.0
"Inferior colliculus, external nucleus",0.0,0.0,0.0,0.153129,0.15105,0.304179,0.0,0.0
Inferior olivary complex,21.0,21.0,42.0,0.05624,0.0602549999999999,0.1164949999999999,373.3997155049787,348.5187951207375
