label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,809.2115384615385,677.0153846153846,260.0,626.4269230769231,864.0,627.5,162871,51.0,12.282880844621467,True
2,738.2861736334405,620.2057877813505,311.0,570.3633440514469,807.0,566.0,177383,51.0,11.183594981378992,True
3,862.4090909090909,723.8305785123966,242.0,615.3140495867768,1389.0,541.5,148906,51.0,12.064981364422946,True
4,1085.1830357142858,677.1071428571429,224.0,464.5982142857143,733.0,459.5,104070,51.0,9.109768907545162,True
5,623.2921348314607,1046.1348314606741,89.0,519.7415730337078,726.0,512.0,46257,51.0,10.191011235935072,True
6,818.9912280701755,660.8421052631579,114.0,583.640350877193,877.0,573.5,66535,51.0,11.443928448549972,True
7,877.0421052631579,645.5368421052632,95.0,557.5052631578948,734.0,556.0,52963,51.0,10.93147574817258,True
8,828.7575757575758,1034.989898989899,99.0,338.3939393939394,524.0,330.0,33501,51.0,6.635175282221095,True
9,938.0874316939891,765.775956284153,183.0,500.0382513661202,787.0,506.0,91507,51.0,9.804671595394897,True
10,864.4410256410256,699.025641025641,195.0,538.2358974358974,873.0,530.0,104956,51.0,10.553645047742,True
11,430.2952380952381,643.7714285714286,105.0,610.0857142857143,840.0,599.0,64059,51.0,11.962464985970941,True
12,1113.8157894736842,549.4802631578947,152.0,465.63157894736844,819.0,432.0,70776,51.0,9.13003095973442,True
13,1035.4338235294117,604.1323529411765,136.0,507.5514705882353,768.0,508.0,69027,51.0,9.951989619357649,True
14,931.6481481481482,945.574074074074,54.0,395.14814814814815,508.0,393.5,21338,51.0,7.748002904850457,True
15,838.3275862068965,949.5689655172414,58.0,478.7413793103448,620.0,483.0,27767,51.0,9.387085868811884,True
16,793.4237288135594,839.4237288135594,59.0,637.0338983050848,835.0,643.0,37585,51.0,12.490860751055601,True
17,1107.0756302521008,555.0168067226891,119.0,386.43697478991595,683.0,385.0,45986,51.0,7.577195584101141,True
18,647.35,677.3333333333334,60.0,596.7,804.0,595.0,35802,51.0,11.69999999997706,True
19,870.2352941176471,731.3529411764706,68.0,538.6764705882352,825.0,537.5,36630,51.0,10.56228373700351,True
20,957.5555555555555,610.25,72.0,493.65277777777777,698.0,489.5,35543,51.0,9.67946623091784,True
21,672.3362068965517,1039.0086206896551,116.0,399.66379310344826,636.0,388.5,46361,51.0,7.836544962797345,True
22,876.5378151260504,734.0756302521008,119.0,602.3529411764706,826.0,609.0,71680,51.0,11.810841983829206,True
23,871.5930232558139,647.0232558139535,86.0,530.1046511627907,723.0,542.5,45589,51.0,10.394208846308848,True
24,1362.7539267015707,1399.0628272251308,191.0,1534.5549738219895,2529.0,1549.0,293100,51.0,30.089313212136872,True
25,763.8139892390469,404.3858570330515,1301.0,707.5365103766334,2114.0,693.0,920505,51.0,13.87326490931855,True
26,704.6923076923077,708.9487179487179,39.0,678.974358974359,821.0,669.0,26480,51.0,13.313222724961326,True
27,853.4242424242424,997.5454545454545,33.0,389.1212121212121,521.0,380.0,12841,51.0,7.629827688636257,True
28,549.4339314845024,149.88091353996737,613.0,340.56769983686786,757.0,336.0,208768,51.0,6.677798036003923,True
29,1115.1691176470588,564.8455882352941,136.0,389.8014705882353,552.0,391.5,53013,51.0,7.6431660899504115,True
30,1340.182608695652,146.42608695652174,115.0,914.8260869565217,2012.0,908.0,105205,51.0,17.937766410877018,True
31,810.9906542056075,1397.728971962617,214.0,876.1542056074767,2119.0,865.5,187497,51.0,17.179494227563897,True
32,709.1111111111111,652.0,27.0,618.1111111111111,772.0,603.0,16689,51.0,12.119825708037236,True
33,933.5395683453237,79.06474820143885,139.0,853.3093525179856,1796.0,840.0,118610,51.0,16.7315559316924,True
34,846.8703703703703,999.3518518518518,54.0,424.27777777777777,604.0,422.5,22911,51.0,8.319172113273448,True
35,925.4130434782609,768.4565217391304,46.0,538.0869565217391,702.0,519.0,24752,51.0,10.55072463766047,True
36,835.1393939393939,1421.909090909091,165.0,344.3757575757576,707.0,353.0,56822,51.0,6.752465834805536,True
37,799.4144736842105,672.125,152.0,615.2763157894736,793.0,623.0,93522,51.0,12.064241486044455,True
38,876.516129032258,77.84946236559139,93.0,465.3440860215054,1063.0,466.0,43277,51.0,9.124393843541037,True
39,941.1683168316831,87.91089108910892,101.0,625.2079207920792,1532.0,605.0,63146,51.0,12.25897883903634,True
40,621.4915055653192,337.20972466315175,1707.0,631.6127709431752,1775.0,602.0,1078163,51.0,12.384564136116406,True
41,837.8837209302326,707.3488372093024,43.0,590.3488372093024,776.0,592.0,25385,51.0,11.575467396238134,True
42,840.9433962264151,1001.5471698113207,53.0,401.1320754716981,584.0,421.0,21260,51.0,7.865334813155129,True
43,1439.015870746354,1449.823991993137,6994.0,554.0657706605662,887.0,577.0,3875136,51.0,10.864034718813327,True
44,1439.9363636363637,129.8090909090909,110.0,761.4818181818182,2804.0,753.0,83763,51.0,14.931016042751471,True
45,858.0932203389831,700.3305084745763,118.0,484.89830508474574,702.0,514.0,57218,51.0,9.507809903603823,True
46,556.0,638.1071428571429,28.0,588.0357142857143,734.0,582.5,16465,51.0,11.53011204479532,True
47,586.2574109618256,195.9827255278311,4689.0,528.0754958413307,1186.0,520.0,2476146,51.0,10.354421487064613,True
48,877.0,999.170731707317,41.0,484.390243902439,804.0,458.0,19860,51.0,9.497847919637044,True
49,849.65625,924.1875,32.0,489.125,571.0,501.5,15652,51.0,9.590686274490999,True
50,700.64,989.04,25.0,397.04,477.0,386.0,9926,51.0,7.785098039200421,True
51,664.7240936798204,209.72954764196342,9351.0,863.0110148647203,1756.0,867.0,8070016,51.0,16.921784605157413,True
52,307.6379132231405,240.74638429752065,1936.0,417.3150826446281,1173.0,418.0,807922,51.0,8.182648679290388,True
53,674.1645569620254,1051.0632911392406,158.0,446.7721518987342,667.0,457.5,70590,51.0,8.760238272507022,True
54,666.1153846153846,1228.6923076923076,26.0,642.6538461538462,742.0,642.0,16709,51.0,12.601055806913452,True
55,1042.6296296296296,609.9351851851852,108.0,485.8333333333333,696.0,489.5,52470,51.0,9.526143790830993,True
56,858.241935483871,1441.1848635235733,806.0,1129.863523573201,2496.0,1160.0,910670,51.0,22.154186736685993,True
57,709.8923651452283,340.56033195020746,12050.0,990.5764315352698,1666.0,1023.0,11936446,51.0,19.423067284967203,True
58,162.71698113207546,872.4716981132076,53.0,933.4905660377359,2052.0,856.0,49475,51.0,18.303736588939323,True
59,780.0425531914893,125.36170212765957,47.0,1841.872340425532,3125.0,1854.0,86568,51.0,36.11514392984158,True
60,70.009009009009,883.4054054054054,111.0,1325.2432432432433,2018.0,1311.0,147102,51.0,25.985161632169504,True
61,102.72222222222223,1119.3333333333333,54.0,954.6851851851852,1603.0,900.5,51553,51.0,18.719317356535555,True
62,746.2857142857143,760.7428571428571,35.0,637.7428571428571,777.0,640.0,22321,51.0,12.504761904737386,True
63,803.5357142857143,316.75,84.0,245.08333333333334,441.0,247.5,20587,51.0,4.805555555546133,True
64,677.0689655172414,1019.1034482758621,29.0,442.62068965517244,643.0,437.0,12836,51.0,8.678837052045187,True
65,1261.744889902623,1420.4126677778752,11399.0,297.41038687604174,1161.0,297.0,3390181,51.0,5.831576213244285,True
66,1459.9734768402845,178.70574668460503,5203.0,701.9069767441861,1272.0,712.0,3652022,51.0,13.762881896917838,True
