epoch,accuracy,loss,val_accuracy,val_loss
0,0.8180440664291382,0.4746202528476715,0.8374125957489014,1.2482719421386719
1,0.8973850607872009,0.2684633731842041,0.964685320854187,0.11586329340934753
2,0.9533745050430298,0.13287252187728882,0.975874125957489,0.0676487535238266
3,0.9726852178573608,0.08097759634256363,0.8835664391517639,0.24942921102046967
4,0.9767261147499084,0.07017013430595398,0.9909090995788574,0.03486212342977524
5,0.9791739583015442,0.0626898780465126,0.977622389793396,0.048907481133937836
6,0.9825154542922974,0.05288614705204964,0.9944055676460266,0.020604675635695457
7,0.9828651547431946,0.04966103658080101,0.9923076629638672,0.028674302622675896
8,0.9846524596214294,0.047572918236255646,0.9874125719070435,0.0763920471072197
9,0.9864786267280579,0.04321175068616867,0.8737761974334717,0.2950274348258972
10,0.9843027591705322,0.049715012311935425,0.9944055676460266,0.018427453935146332
11,0.9866340160369873,0.03985986113548279,0.9930070042610168,0.023413605988025665
12,0.9866728782653809,0.03958478942513466,0.9937062859535217,0.02740497514605522
13,0.9864397644996643,0.04321570694446564,0.9891608357429504,0.03483019396662712
14,0.9883047938346863,0.03663179278373718,0.9926573634147644,0.030672587454319
15,0.9873722791671753,0.03817278519272804,0.9947552680969238,0.02678477205336094
16,0.9902474880218506,0.029877709224820137,0.9947552680969238,0.02048352174460888
17,0.9888098835945129,0.0342278890311718,0.9944055676460266,0.017040349543094635
18,0.9883436560630798,0.03458486497402191,0.9881119132041931,0.036786168813705444
19,0.9893538355827332,0.030371244996786118,0.9940559267997742,0.0181611068546772
20,0.9897812604904175,0.03192314878106117,0.9818181991577148,0.07755804061889648
21,0.9901309609413147,0.029496604576706886,0.9926573634147644,0.0245331022888422
22,0.9894704222679138,0.030344810336828232,0.9930070042610168,0.03075909987092018
23,0.9911800026893616,0.028075063601136208,0.9940559267997742,0.017148824408650398
24,0.990752637386322,0.03020235151052475,0.9926573634147644,0.024687394499778748
25,0.9916074275970459,0.027630815282464027,0.9961538314819336,0.0148705979809165
26,0.9919571280479431,0.026696626096963882,0.9954545497894287,0.013593883253633976
27,0.9914131164550781,0.026341788470745087,0.9884615540504456,0.035371508449316025
28,0.9921902418136597,0.025544490665197372,0.988811194896698,0.05543893575668335
29,0.991685152053833,0.026109540835022926,0.9814685583114624,0.06052706390619278
