structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,3641.0,3797.0,7438.0,1.53498,1.4968169999999998,3.031797,2372.017876454416,2536.71624520566
"Primary somatosensory area, lower limb, layer 5",1985.0,1368.0,3353.0,0.29294499999999996,0.255079,0.5480240000000001,6776.015975695097,5363.04439016932
"Primary motor area, Layer 6a",1217.0,1526.0,2743.0,1.313117,1.200102,2.513219,926.8024098385748,1271.5585841870109
"Primary motor area, Layer 5",1577.0,714.0,2291.0,1.4035540000000002,1.2750439999999998,2.678598,1123.5762927539658,559.9806751766998
"Primary somatosensory area, lower limb, layer 6a",762.0,1210.0,1972.0,0.292825,0.252828,0.5456529999999999,2602.236830871681,4785.862325375354
Pontine reticular nucleus,864.0,910.0,1774.0,1.453813,1.605263,3.0590759999999997,594.2992668245503,566.8853016608493
"Primary somatosensory area, trunk, layer 6a",766.0,848.0,1614.0,0.100411,0.095151,0.19556199999999999,7628.646263855554,8912.15016132253
"Retrosplenial area, lateral agranular part, layer 6a",706.0,518.0,1224.0,0.208211,0.191186,0.399397,3390.791072517782,2709.403408199345
"Pontine reticular nucleus, caudal part",626.0,562.0,1188.0,1.6418579999999998,1.74103,3.3828879999999995,381.2753599885009,322.79742451307555
Magnocellular reticular nucleus,626.0,519.0,1145.0,0.248678,0.238414,0.487092,2517.3115434417196,2176.8855855780284
Red nucleus,518.0,453.0,971.0,0.419419,0.44441400000000003,0.863833,1235.0418078341706,1019.3198234079034
Pons,574.0,391.0,965.0,1.630873,1.6377849999999998,3.2686580000000003,351.9587362106062,238.73707476866625
Intermediate reticular nucleus,352.0,551.0,903.0,2.11176,2.132916,4.244676,166.68560821305454,258.33178615566675
"Medullary reticular nucleus, dorsal part",415.0,419.0,834.0,0.805616,0.87725,1.682866,515.1337609977954,477.62895411798235
"Medullary reticular nucleus, ventral part",363.0,383.0,746.0,0.48915,0.514284,1.003434,742.1036491873659,744.7247046379044
"Paragigantocellular reticular nucleus, lateral part",292.0,368.0,660.0,0.355927,0.373531,0.7294579999999999,820.3929457444925,985.1926613855343
crossed tectospinal pathway,327.0,286.0,613.0,0.261655,0.263164,0.5248189999999999,1249.7372494315032,1086.7747868249455
Midbrain reticular nucleus,390.0,221.0,611.0,2.852624,2.887727,5.740351,136.7162303899848,76.53078009105431
