label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,446.4217877094972,548.9525139664804,358.0,161.51396648044692,841.0,136.0,57822,23.0,7.022346368684552,True
2,1022.6196581196581,547.0470085470085,234.0,101.4957264957265,290.0,90.0,23750,23.0,4.412857673708054,True
3,377.56756756756755,525.7837837837837,222.0,174.77927927927928,879.0,139.5,38801,23.0,7.59909909906606,True
4,362.8811188811189,535.048951048951,143.0,161.93706293706293,380.0,149.0,23157,23.0,7.040741866798212,True
5,1002.1329479768787,652.0173410404624,173.0,139.02890173410404,605.0,121.0,24052,23.0,6.044734857978242,True
6,473.31111111111113,469.64444444444445,135.0,127.25185185185185,347.0,108.0,17179,23.0,5.5326892109260255,True
7,1054.375,469.25,144.0,98.58333333333333,400.0,79.0,14196,23.0,4.286231884039335,True
8,1064.5254237288136,577.9796610169492,295.0,119.80677966101695,541.0,106.0,35343,23.0,5.208990420021568,True
9,1058.1698113207547,557.0314465408806,159.0,139.0691823899371,501.0,126.0,22112,23.0,6.046486190840542,True
10,1065.7222222222222,517.6111111111111,108.0,186.2685185185185,638.0,158.0,20117,23.0,8.098631239900376,True
11,417.9113924050633,454.05696202531647,158.0,134.59493670886076,378.0,124.0,21266,23.0,5.851953769925025,True
12,441.54545454545456,480.64935064935065,77.0,147.75324675324674,341.0,135.0,11377,23.0,6.424054206634971,True
13,475.9698795180723,635.8192771084338,166.0,216.81927710843374,431.0,199.0,35992,23.0,9.426925091630046,True
14,461.739837398374,480.3739837398374,123.0,158.3252032520325,594.0,111.0,19474,23.0,6.883704489188876,True
15,1009.7391304347826,460.0086956521739,115.0,137.04347826086956,397.0,122.0,15760,23.0,5.958412098272771,True
16,1097.5990338164252,530.671497584541,207.0,94.15458937198068,408.0,84.0,19490,23.0,4.09367779876397,True
17,390.3832335329341,529.0958083832336,167.0,161.0239520958084,544.0,143.0,26891,23.0,7.001041395439492,True
18,409.4019607843137,463.6470588235294,102.0,188.62745098039215,402.0,180.5,19240,23.0,8.201193520850959,True
19,997.2127659574468,254.72340425531914,47.0,99.93617021276596,151.0,100.0,4697,23.0,4.34505087879702,True
20,1013.9268292682926,533.9512195121952,82.0,122.65853658536585,252.0,118.0,10058,23.0,5.332979851514459,True
21,1022.0483870967741,475.2741935483871,62.0,108.51612903225806,278.0,93.5,6728,23.0,4.7180925665994025,True
22,434.12820512820514,446.04487179487177,156.0,128.9102564102564,531.0,112.5,20110,23.0,5.604793756943302,True
23,1046.195652173913,472.19565217391306,138.0,69.58695652173913,161.0,67.0,9603,23.0,3.0255198487581123,True
24,1003.0576923076923,512.5769230769231,52.0,160.32692307692307,259.0,157.5,8337,23.0,6.970735785922869,True
25,1069.84,559.8133333333334,75.0,129.49333333333334,257.0,130.0,9712,23.0,5.630144927511754,True
26,1134.5185185185185,510.2053872053872,297.0,141.82828282828282,385.0,138.0,42123,23.0,6.166447079463747,True
27,1072.1008403361345,204.80672268907563,119.0,47.95798319327731,110.0,44.0,5707,23.0,2.0851297040464694,True
28,1093.6938775510205,301.8979591836735,49.0,97.36734693877551,190.0,94.0,4771,23.0,4.233362910363138,True
29,454.7692307692308,477.8119658119658,117.0,98.33333333333333,182.0,95.0,11505,23.0,4.275362318821991,True
30,1057.3725490196077,298.96078431372547,51.0,58.90196078431372,107.0,60.0,3004,23.0,2.5609548166981577,True
31,1101.9291338582677,525.7874015748032,127.0,112.69291338582677,390.0,102.0,14312,23.0,4.899691886318991,True
32,964.6938775510204,610.1530612244898,98.0,114.20408163265306,283.0,102.0,11192,23.0,4.965394853572023,True
33,1093.96,506.1,50.0,134.54,279.0,126.5,6727,23.0,5.849565217365871,True
34,399.4761904761905,519.9285714285714,126.0,183.0079365079365,552.0,157.5,23059,23.0,7.956866804658297,True
35,981.4166666666666,652.8333333333334,84.0,122.72619047619048,237.0,115.5,10309,23.0,5.33592132502856,True
36,975.10101010101,655.7676767676768,99.0,138.37373737373738,293.0,127.0,13699,23.0,6.016249451005903,True
37,1024.2432432432433,606.5,74.0,102.47297297297297,160.0,102.0,7583,23.0,4.455346650979454,True
38,1017.3188405797101,462.7826086956522,69.0,119.34782608695652,316.0,96.0,8235,23.0,5.189035916801636,True
39,1030.7215189873418,603.2658227848101,79.0,118.79746835443038,293.0,108.0,9385,23.0,5.165107319735386,True
40,1074.2244897959183,511.42857142857144,49.0,140.9795918367347,276.0,132.0,6908,23.0,6.129547471135728,True
41,477.734693877551,587.469387755102,49.0,182.24489795918367,262.0,176.0,8930,23.0,7.923691215582231,True
42,441.86842105263156,438.82456140350877,114.0,133.17543859649123,668.0,111.5,15182,23.0,5.790236460691836,True
43,474.7692307692308,484.44615384615383,130.0,87.15384615384616,217.0,84.0,11330,23.0,3.789297658846402,True
44,1112.3971428571429,740.1057142857143,350.0,229.01714285714286,735.0,219.5,80156,23.0,9.95726708070205,True
45,1008.4571428571429,466.34285714285716,35.0,183.5142857142857,341.0,162.0,6423,23.0,7.978881987542949,True
46,421.775,377.5,40.0,114.325,448.0,104.5,4573,23.0,4.970652173891432,True
