structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Retrosplenial area, dorsal part, layer 6b",0.0,0.0,0.0,0.0061259999999999,0.005756,0.011882,0.0,0.0
"Retrosplenial area, lateral agranular part, layer 1",3.0,5.0,8.0,0.0292769999999999,0.041427,0.0707039999999999,102.4695153191929,120.6942332295363
"Retrosplenial area, lateral agranular part, layer 2/3",30.0,82.0,112.0,0.0533779999999999,0.093956,0.147334,562.0293004608651,872.7489463152965
"Retrosplenial area, lateral agranular part, layer 5",450.0,198.0,648.0,0.123876,0.121197,0.2450729999999999,3632.664922987504,1633.7038045496176
"Retrosplenial area, lateral agranular part, layer 6a",159.0,104.0,263.0,0.074372,0.069769,0.144141,2137.9013607271554,1490.633375854606
"Retrosplenial area, lateral agranular part, layer 6b",0.0,0.0,0.0,0.006496,0.0060529999999999,0.012549,0.0,0.0
"Retrosplenial area, ventral part, layer 1",1.0,0.0,1.0,0.23238,0.2366619999999999,0.4690419999999999,4.303296324984938,0.0
"Retrosplenial area, ventral part, layer 2/3",0.0,0.0,0.0,0.2520219999999999,0.257065,0.509087,0.0,0.0
"Retrosplenial area, ventral part, layer 5",0.0,0.0,0.0,0.376268,0.381081,0.757349,0.0,0.0
"Retrosplenial area, ventral part, layer 6a",0.0,0.0,0.0,0.133187,0.132185,0.265372,0.0,0.0
"Retrosplenial area, ventral part, layer 6b",0.0,0.0,0.0,0.0104619999999999,0.0104719999999999,0.0209339999999999,0.0,0.0
Rhomboid nucleus,0.0,0.0,0.0,0.034039,0.035259,0.069298,0.0,0.0
Rostral linear nucleus raphe,0.0,0.0,0.0,0.011531,0.011635,0.023166,0.0,0.0
"Rostrolateral area, layer 1",19.0,0.0,19.0,0.030972,0.042216,0.073188,613.4573162856774,0.0
"Rostrolateral area, layer 2/3",49.0,1.0,50.0,0.0554469999999999,0.0574289999999999,0.1128759999999999,883.7268021714447,17.41280537707433
"Rostrolateral area, layer 4",1.0,0.0,1.0,0.0279339999999999,0.027129,0.055063,35.798668289539755,0.0
"Rostrolateral area, layer 5",6.0,0.0,6.0,0.045682,0.043405,0.089087,131.34276082483254,0.0
"Rostrolateral area, layer 6a",0.0,0.0,0.0,0.028297,0.0263769999999999,0.054674,0.0,0.0
"Rostrolateral area, layer 6b",0.0,0.0,0.0,0.0052759999999999,0.004957,0.0102329999999999,0.0,0.0
"Secondary motor area, layer 1",31.0,44.0,75.0,0.662393,0.581073,1.243466,46.8000114735512,75.72198329641887
"Secondary motor area, layer 2/3",5.0,6.0,11.0,0.90384,0.766363,1.670203,5.531952557974863,7.829187995767019
"Secondary motor area, layer 5",1705.0,1659.0,3364.0,0.787472,0.745779,1.533251,2165.156348416198,2224.5195962879084
"Secondary motor area, layer 6a",842.0,817.0,1659.0,0.412248,0.410132,0.82238,2042.4598785197259,1992.0415866111398
"Secondary motor area, layer 6b",0.0,0.0,0.0,0.015423,0.0150289999999999,0.030452,0.0,0.0
Septofimbrial nucleus,0.0,0.0,0.0,0.131001,0.134711,0.265712,0.0,0.0
Septohippocampal nucleus,0.0,0.0,0.0,0.0079569999999999,0.0086179999999999,0.016575,0.0,0.0
Simple lobule,0.0,0.0,0.0,1.003834,0.99379,1.997624,0.0,0.0
"Spinal nucleus of the trigeminal, caudal part",371.0,1413.0,1784.0,0.44026,0.440509,0.8807689999999999,842.6838686230864,3207.652965092654
"Spinal nucleus of the trigeminal, interpolar part",110.0,393.0,503.0,0.5166769999999999,0.6123179999999999,1.1289949999999995,212.8989678270951,641.823366290065
"Spinal nucleus of the trigeminal, oral part",7.0,8.0,15.0,0.153864,0.155327,0.309191,45.494722612176986,51.50424588126984
Spinal vestibular nucleus,75.0,71.0,146.0,0.2020239999999999,0.188947,0.3909709999999999,371.24302063121235,375.76674940591806
Striatum,41.0,384.0,425.0,0.584344,0.606418,1.190762,70.16414988431472,633.2265862820694
Subceruleus nucleus,20.0,12.0,32.0,0.006326,0.006082,0.0124079999999999,3161.555485298767,1973.0351857941469
Subcommissural organ,0.0,0.0,0.0,0.00328,0.0032199999999999,0.0065,0.0,0.0
Subfornical organ,0.0,0.0,0.0,0.009304,0.00915,0.0184539999999999,0.0,0.0
Subgeniculate nucleus,0.0,0.0,0.0,0.009207,0.011227,0.020434,0.0,0.0
Subiculum,0.0,1.0,1.0,0.365897,0.4074279999999999,0.7733249999999999,0.0,2.454421394700414
Sublaterodorsal nucleus,30.0,21.0,51.0,0.0106679999999999,0.010683,0.021351,2812.1484814398464,1965.739960685201
Submedial nucleus of the thalamus,0.0,0.0,0.0,0.0945179999999999,0.097941,0.192459,0.0,0.0
Subparafascicular area,0.0,0.0,0.0,0.035565,0.03608,0.071645,0.0,0.0
"Subparafascicular nucleus, magnocellular part",1.0,0.0,1.0,0.021348,0.023018,0.044366,46.842795578040096,0.0
"Subparafascicular nucleus, parvicellular part",2.0,0.0,2.0,0.034119,0.038793,0.072912,58.61836513379642,0.0
Subparaventricular zone,1.0,3.0,4.0,0.040076,0.040837,0.080913,24.952590078850186,73.46279109630973
Substantia innominata,12.0,83.0,95.0,0.552477,0.5731919999999999,1.1256689999999998,21.720361209606917,144.80313751762066
"Substantia nigra, compact part",1.0,0.0,1.0,0.0460179999999999,0.0461079999999999,0.0921259999999999,21.73062714589948,0.0
"Substantia nigra, reticular part",0.0,1.0,1.0,0.352633,0.3364999999999999,0.689133,0.0,2.9717682020802387
Subthalamic nucleus,0.0,0.0,0.0,0.03023,0.032313,0.062543,0.0,0.0
Superior central nucleus raphe,1.0,0.0,1.0,0.148122,0.1550079999999999,0.30313,6.751191585314808,0.0
"Superior colliculus, motor related, deep gray layer",0.0,0.0,0.0,0.317343,0.316,0.633343,0.0,0.0
"Superior colliculus, motor related, deep white layer",0.0,0.0,0.0,0.08936,0.090894,0.180254,0.0,0.0
"Superior colliculus, motor related, intermediate gray layer",1.0,0.0,1.0,0.450953,0.444733,0.895686,2.217525994948476,0.0
"Superior colliculus, motor related, intermediate white layer",3.0,0.0,3.0,0.523473,0.509675,1.033148,5.730954605108574,0.0
"Superior colliculus, optic layer",0.0,0.0,0.0,0.1135709999999999,0.1179989999999999,0.23157,0.0,0.0
"Superior colliculus, superficial gray layer",0.0,0.0,0.0,0.181329,0.190465,0.3717939999999999,0.0,0.0
"Superior colliculus, zonal layer",0.0,0.0,0.0,0.05815,0.060284,0.118434,0.0,0.0
"Superior olivary complex, lateral part",35.0,136.0,171.0,0.093946,0.116196,0.210142,372.55444617120475,1170.4361595924129
"Superior olivary complex, medial part",16.0,30.0,46.0,0.0602249999999999,0.0742309999999999,0.134456,265.6704026567045,404.14382131454573
"Superior olivary complex, periolivary region",90.0,322.0,412.0,0.1007359999999999,0.1180269999999999,0.2187629999999999,893.4243964421864,2728.1893126149125
Superior vestibular nucleus,0.0,3.0,3.0,0.087618,0.082992,0.1706099999999999,0.0,36.148062463851936
"Supplemental somatosensory area, layer 1",5.0,8.0,13.0,0.3602209999999999,0.3592269999999999,0.7194479999999999,13.880367885270434,22.2700409490378
"Supplemental somatosensory area, layer 2/3",15.0,7.0,22.0,0.550473,0.5462159999999999,1.096689,27.249292880849744,12.815442974940318
"Supplemental somatosensory area, layer 4",8.0,2.0,10.0,0.268654,0.272123,0.5407770000000001,29.77807886724188,7.349617636142479
