brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp
,"Primary somatosensory area, upper limb, layer 5",1220,1009,2229,0.023744,0.018774,0.042518,0,0,,,"Primary somatosensory area, upper limb, layer 5",0,0,0,0.5364289999999999,0.5304829999999999,1.066912,0,0,2229,,,"Primary somatosensory area, upper limb, layer 5",1085,1669,2754,0.928789,1.044537,1.973326,0,0,-525,,,"Primary somatosensory area, upper limb, layer 5",0,0,0,0.682733,0.606903,1.289636,0,0,2229,,,"Primary somatosensory area, upper limb, layer 5",0,2255,2255,0.586673,0.533742,1.120415,0,4224.88768,-26,,,"Primary somatosensory area, upper limb, layer 5",0,0,0,0.586673,0.533742,1.120415,0,0,2229
,"Pontine reticular nucleus, caudal part",472,484,956,0.045264,0.035605,0.080869,0,0,,,"Pontine reticular nucleus, caudal part",484,446,930,0.003673,0.003545,0.007218,0,0,26,,,"Pontine reticular nucleus, caudal part",573,856,1429,0.003782,0.004536,0.008318,0,0,-473,,,"Pontine reticular nucleus, caudal part",284,554,838,1.753072,2.33659,4.089662,162.0013325,237.0976509,118,,,"Pontine reticular nucleus, caudal part",408,990,1398,1.613757,2.914225,4.527982,252.826169,339.7129597,-442,,,"Pontine reticular nucleus, caudal part",548,1049,1597,1.613757,2.914225,4.527982,339.5802466,359.9584795,-641
,"Retrosplenial area, lateral agranular part, layer 6a",159,104,263,0.252022,0.257065,0.509087,0,0,,,"Retrosplenial area, lateral agranular part, layer 6a",175,542,717,0.180491,0.174253,0.35474399999999995,0,0,-454,,,"Retrosplenial area, lateral agranular part, layer 6a",132,543,675,0.173169,0.152039,0.325208,0,0,-412,,,"Retrosplenial area, lateral agranular part, layer 6a",83,257,340,0.304917,0.33895,0.643867,272.2052231,758.2239268,-77,,,"Retrosplenial area, lateral agranular part, layer 6a",24,0,24,0.239827,0.252755,0.492582,100.0721353,0,239,,,"Retrosplenial area, lateral agranular part, layer 6a",0,9,9,0.239827,0.252755,0.492582,0,35.6076042,254
,Pedunculopontine nucleus,213,331,544,0.051046,0.052389,0.103435,313.4427771,343.5835767,,,Pedunculopontine nucleus,290,361,651,0.41313199999999994,0.387418,0.80055,0,0,-107,,,Pedunculopontine nucleus,518,435,953,0.64197,0.627852,1.269822,0,0,-409,,,Pedunculopontine nucleus,270,339,609,0.826498,0.737519,1.564017,326.6795564,459.6491751,-65,,,Pedunculopontine nucleus,334,616,950,0.650161,0.772238,1.422399,513.7189096,797.6815438,-406,,,Pedunculopontine nucleus,227,221,448,0.650161,0.772238,1.422399,349.1442889,286.1812032,96
,Fastigial nucleus,30,51,81,1.75369,1.77694,3.53063,0,0,,,Fastigial nucleus,0,0,0,0.717997,0.7563300000000001,1.474327,0,0,81,,,Fastigial nucleus,199,273,472,0.829897,0.793831,1.623728,1.204968809,0,-391,,,Fastigial nucleus,0,0,0,0.268272,0.274768,0.54304,0,0,81,,,Fastigial nucleus,144,73,217,0.304749,0.29612,0.600869,472.5200083,246.5216804,-136,,,Fastigial nucleus,0,0,0,0.304749,0.29612,0.600869,0,0,81
,Zona incerta,8,13,21,,,,,,,,Zona incerta,86,61,147,,,,,,-126,,,Zona incerta,296,110,406,,,,,,-385,,,Zona incerta,267,127,394,0.878995,0.881617,1.760612,303.7559941,144.0534835,-373,,,Zona incerta,90,17,107,0.812466,0.809255,1.621721,110.7738662,21.00697555,-86,,,Zona incerta,5,105,110,0.812466,0.809255,1.621721,6.154103679,129.7489666,-89
,Midbrain,52,106,158,0.04076,0.042805,0.083565,98.13542689,186.8940544,,,Midbrain,102,96,198,0.024228,0.025177,0.049405000000000004,0,0,-40,,,Midbrain,248,229,477,0.026604,0.0291,0.055704,75.17666516,274.9140893,-319,,,Midbrain,128,193,321,4.077217,4.072835,8.150052,31.39396309,47.38713942,-163,,,Midbrain,230,379,609,3.96012,3.788945,7.749065,58.07904811,100.0278442,-451,,,Midbrain,22,2,24,3.96012,3.788945,7.749065,5.55538721,0.52785142,134
,Hypothalamus,177,229,406,0.10939,0.112214,0.221604,9.141603437,0,,,Hypothalamus,425,355,780,0.214263,0.239693,0.453956,0,0,-374,,,Hypothalamus,326,396,722,0.286073,0.306061,0.592134,0,0,-316,,,Hypothalamus,244,537,781,1.820819,1.9885,3.809319,134.0056315,270.0528036,-375,,,Hypothalamus,135,5,140,1.44957,1.507538,2.957108,93.13106645,3.316665981,266,,,Hypothalamus,27,199,226,1.44957,1.507538,2.957108,18.62621329,132.0033061,180
,arbor vitae,3,6,9,0.069969,0.06575,0.135719,0,0,,,arbor vitae,1,0,1,2.677253,2.838374,5.515626999999999,0.373517183,0,8,,,arbor vitae,95,218,313,3.299917,3.580719,6.880636,28.78860286,60.8816274,-304,,,arbor vitae,0,0,0,3.299917,3.580719,6.880636,0,0,9,,,arbor vitae,126,243,369,3.05172,2.848178,5.899898,41.28819158,85.31770135,-360,,,arbor vitae,0,0,0,3.05172,2.848178,5.899898,0,0,9
,"Supplemental somatosensory area, layer 6a",92,83,175,0.031615,0.032706,0.064321,0,30.57542958,,,"Supplemental somatosensory area, layer 6a",0,0,0,0.003889,0.003991,0.00788,0,0,175,,,"Supplemental somatosensory area, layer 6a",339,126,465,0.005685,0.006397,0.012082,1934.916447,0,-290,,,"Supplemental somatosensory area, layer 6a",0,0,0,0.874563,0.999549,1.874112,0,0,175,,,"Supplemental somatosensory area, layer 6a",19,0,19,0.77606,0.863493,1.639553,24.48264309,0,156,,,"Supplemental somatosensory area, layer 6a",0,0,0,0.77606,0.863493,1.639553,0,0,175
,"Paragigantocellular reticular nucleus, dorsal part",35,25,60,0.669059,0.728122,1.397181,11.95709198,4.12018865,,,"Paragigantocellular reticular nucleus, dorsal part",0,0,0,2.460295,2.346315,4.806609999999999,39.019711050910566,31.112617018601508,60,,,"Paragigantocellular reticular nucleus, dorsal part",195,146,341,3.760379,3.964942,7.725321,236.9442016,178.5650332,-281,,,"Paragigantocellular reticular nucleus, dorsal part",0,0,0,0.29917,0.315203,0.614373,0,0,60,,,"Paragigantocellular reticular nucleus, dorsal part",178,99,277,0.166928,0.154083,0.321011,1066.327998,642.5108545,-217,,,"Paragigantocellular reticular nucleus, dorsal part",4,3,7,0.166928,0.154083,0.321011,23.96242691,19.4700259,53
,Laterodorsal tegmental nucleus,55,43,98,0.023511,0.022475,0.045986,0,0,,,Laterodorsal tegmental nucleus,185,205,390,3.042436,3.087221,6.129657,0,0,-292,,,Laterodorsal tegmental nucleus,160,198,358,3.837742,4.311289,8.149031,1.563419323,0.695847576,-260,,,Laterodorsal tegmental nucleus,149,247,396,0.138439,0.174192,0.312631,1076.286307,1417.975567,-298,,,Laterodorsal tegmental nucleus,40,7,47,0.119483,0.13473,0.254213,334.7756585,51.95576338,51,,,Laterodorsal tegmental nucleus,94,188,282,0.119483,0.13473,0.254213,786.7227974,1395.383359,-184
,Interstitial nucleus of Cajal,65,33,98,0.028893,0.034286,0.063179,173.0522964,174.9985417,,,Interstitial nucleus of Cajal,100,79,179,0.22873000000000002,0.228944,0.457674,0,0,-81,,,Interstitial nucleus of Cajal,150,164,314,0.334103,0.257342,0.591445,23.94471166,0,-216,,,Interstitial nucleus of Cajal,75,107,182,0.057654,0.051258,0.108912,1300.863774,2087.479028,-84,,,Interstitial nucleus of Cajal,68,74,142,0.062881,0.061073,0.123954,1081.407738,1211.664729,-44,,,Interstitial nucleus of Cajal,51,24,75,0.062881,0.061073,0.123954,811.0558038,392.9723446,23
,"Primary somatosensory area, lower limb, layer 5",1152,1053,2205,0.013423,0.012516,0.025939,0,0,,,"Primary somatosensory area, lower limb, layer 5",1646,2191,3837,0.145396,0.142928,0.28832399999999997,0,0,-1632,,,"Primary somatosensory area, lower limb, layer 5",618,1799,2417,0.204276,0.19499,0.399266,0,0,-212,,,"Primary somatosensory area, lower limb, layer 5",445,1135,1580,0.449436,0.41449,0.863926,990.1298516,2738.304905,625,,,"Primary somatosensory area, lower limb, layer 5",765,510,1275,0.425124,0.409589,0.834713,1799.474977,1245.150627,930,,,"Primary somatosensory area, lower limb, layer 5",2220,1992,4212,0.425124,0.409589,0.834713,5222.005815,4863.411859,-2007
