brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp
336BL,Abducens nucleus,0,0,0,0.007052,0.007361,0.014413,0,0,,167,Abducens nucleus,0,0,0,0.020005000000000002,0.021698,0.041703,0,0,0,,174mSc,Abducens nucleus,0,0,0,0.027915,0.028003,0.055918,0,0,0,,174mGl,Abducens nucleus,0,0,0,0.027915,0.028003,0.055918,0,0,0,,176mSc,Abducens nucleus,8,6,14,0.021759,0.02223,0.043989,367.6639551,269.9055331,-14,,176mGl,Abducens nucleus,0,0,0,0.021759,0.02223,0.043989,0,0,0
,"Accessory olfactory bulb, glomerular layer",0,0,0,0.020962,0.017257,0.038219,0,0,,,"Accessory olfactory bulb, glomerular layer",0,0,0,0.026213,0.038285,0.064498,0,0,0,,,"Accessory olfactory bulb, glomerular layer",0,0,0,0.080864,0.059992,0.140856,0,0,0,,,"Accessory olfactory bulb, glomerular layer",0,0,0,0.080864,0.059992,0.140856,0,0,0,,,"Accessory olfactory bulb, glomerular layer",0,0,0,0.055331,0.01585,0.071181,0,0,0,,,"Accessory olfactory bulb, glomerular layer",0,0,0,0.055331,0.01585,0.071181,0,0,0
,"Accessory olfactory bulb, granular layer",0,0,0,0.025574,0.021167,0.046741,0,0,,,"Accessory olfactory bulb, granular layer",0,0,0,0.021701,0.048182,0.069883,0,0,0,,,"Accessory olfactory bulb, granular layer",0,0,0,0.106103,0.093381,0.199484,0,0,0,,,"Accessory olfactory bulb, granular layer",0,0,0,0.106103,0.093381,0.199484,0,0,0,,,"Accessory olfactory bulb, granular layer",0,0,0,0.078177,0.015811,0.093988,0,0,0,,,"Accessory olfactory bulb, granular layer",0,0,0,0.078177,0.015811,0.093988,0,0,0
,"Accessory olfactory bulb, mitral layer",0,0,0,0.036019,0.029537,0.065556,0,0,,,"Accessory olfactory bulb, mitral layer",0,0,0,0.037334,0.064524,0.101858,0,0,0,,,"Accessory olfactory bulb, mitral layer",0,0,0,0.137773,0.110801,0.248574,0,0,0,,,"Accessory olfactory bulb, mitral layer",0,0,0,0.137773,0.110801,0.248574,0,0,0,,,"Accessory olfactory bulb, mitral layer",0,0,0,0.095974,0.024301,0.120275,0,0,0,,,"Accessory olfactory bulb, mitral layer",0,0,0,0.095974,0.024301,0.120275,0,0,0
,Accessory supraoptic group,0,0,0,0.002166,0.002314,0.00448,0,0,,,Accessory supraoptic group,0,0,0,0.00449,0.00416,0.00865,0,0,0,,,Accessory supraoptic group,0,0,0,0.004954,0.00694,0.011894,0,0,0,,,Accessory supraoptic group,0,0,0,0.004954,0.00694,0.011894,0,0,0,,,Accessory supraoptic group,0,0,0,0.003163,0.003518,0.006681,0,0,0,,,Accessory supraoptic group,0,0,0,0.003163,0.003518,0.006681,0,0,0
,"Agranular insular area, dorsal part, layer 1",0,0,0,0.154993,0.115622,0.270615,0,0,,,"Agranular insular area, dorsal part, layer 1",0,0,0,0.459633,0.516199,0.975832,0,0,0,,,"Agranular insular area, dorsal part, layer 1",0,0,0,0.252854,0.248216,0.50107,0,0,0,,,"Agranular insular area, dorsal part, layer 1",0,0,0,0.252854,0.248216,0.50107,0,0,0,,,"Agranular insular area, dorsal part, layer 1",0,3,3,0.414161,0.303724,0.717885,0,9.877388682,-3,,,"Agranular insular area, dorsal part, layer 1",0,0,0,0.414161,0.303724,0.717885,0,0,0
,"Agranular insular area, dorsal part, layer 6b",0,0,0,0.008586,0.009115,0.017701,0,0,,,"Agranular insular area, dorsal part, layer 6b",0,0,0,0.016883000000000002,0.016697,0.03358,0,0,0,,,"Agranular insular area, dorsal part, layer 6b",0,0,0,0.022484,0.023286,0.04577,0,0,0,,,"Agranular insular area, dorsal part, layer 6b",0,0,0,0.022484,0.023286,0.04577,0,0,0,,,"Agranular insular area, dorsal part, layer 6b",4,0,4,0.021803,0.018285,0.040088,183.4609916,0,-4,,,"Agranular insular area, dorsal part, layer 6b",0,0,0,0.021803,0.018285,0.040088,0,0,0
,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.23672,0.230265,0.466985,0,0,,,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.555395,0.670696,1.2260909999999998,0,0,0,,,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.387164,0.437742,0.824906,0,0,0,,,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.387164,0.437742,0.824906,0,0,0,,,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.376538,0.438102,0.81464,0,0,0,,,"Agranular insular area, posterior part, layer 2/3",0,0,0,0.376538,0.438102,0.81464,0,0,0
,"Agranular insular area, posterior part, layer 6a",0,0,0,0.102834,0.103907,0.206741,0,0,,,"Agranular insular area, posterior part, layer 6a",0,0,0,0.169404,0.17596699999999998,0.345371,0,0,0,,,"Agranular insular area, posterior part, layer 6a",0,0,0,0.173857,0.207938,0.381795,0,0,0,,,"Agranular insular area, posterior part, layer 6a",1,0,1,0.173857,0.207938,0.381795,5.751853535,0,-1,,,"Agranular insular area, posterior part, layer 6a",0,0,0,0.164488,0.190933,0.355421,0,0,0,,,"Agranular insular area, posterior part, layer 6a",0,0,0,0.164488,0.190933,0.355421,0,0,0
,"Agranular insular area, posterior part, layer 6b",0,0,0,0.004176,0.004545,0.008721,0,0,,,"Agranular insular area, posterior part, layer 6b",0,0,0,0.007179,0.007459,0.014637999999999997,0,0,0,,,"Agranular insular area, posterior part, layer 6b",0,0,0,0.008153,0.009381,0.017534,0,0,0,,,"Agranular insular area, posterior part, layer 6b",0,0,0,0.008153,0.009381,0.017534,0,0,0,,,"Agranular insular area, posterior part, layer 6b",0,0,0,0.007791,0.008729,0.01652,0,0,0,,,"Agranular insular area, posterior part, layer 6b",0,0,0,0.007791,0.008729,0.01652,0,0,0
,"Agranular insular area, ventral part, layer 1",0,0,0,0.064891,0.0617,0.126591,0,0,,,"Agranular insular area, ventral part, layer 1",0,0,0,0.189203,0.223006,0.412209,0,0,0,,,"Agranular insular area, ventral part, layer 1",0,0,0,0.131639,0.134534,0.266173,0,0,0,,,"Agranular insular area, ventral part, layer 1",0,0,0,0.131639,0.134534,0.266173,0,0,0,,,"Agranular insular area, ventral part, layer 1",0,0,0,0.178422,0.222602,0.401024,0,0,0,,,"Agranular insular area, ventral part, layer 1",0,0,0,0.178422,0.222602,0.401024,0,0,0
,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.128305,0.128509,0.256814,0,0,,,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.38850300000000004,0.464021,0.852524,0,0,0,,,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.284772,0.299817,0.584589,0,0,0,,,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.284772,0.299817,0.584589,0,0,0,,,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.339443,0.456488,0.795931,0,0,0,,,"Agranular insular area, ventral part, layer 2/3",0,0,0,0.339443,0.456488,0.795931,0,0,0
,"Agranular insular area, ventral part, layer 6a",0,0,0,0.032774,0.034766,0.06754,0,0,,,"Agranular insular area, ventral part, layer 6a",0,0,0,0.067949,0.071395,0.139344,0,0,0,,,"Agranular insular area, ventral part, layer 6a",0,0,0,0.07785,0.084806,0.162656,0,0,0,,,"Agranular insular area, ventral part, layer 6a",0,0,0,0.07785,0.084806,0.162656,0,0,0,,,"Agranular insular area, ventral part, layer 6a",1,0,1,0.082091,0.07702,0.159111,12.18160334,0,-1,,,"Agranular insular area, ventral part, layer 6a",0,0,0,0.082091,0.07702,0.159111,0,0,0
,"Agranular insular area, ventral part, layer 6b",0,0,0,0.000507,0.000502,0.001009,0,0,,,"Agranular insular area, ventral part, layer 6b",0,0,0,0.001075,0.000987,0.002062,0,0,0,,,"Agranular insular area, ventral part, layer 6b",0,0,0,0.001334,0.001451,0.002785,0,0,0,,,"Agranular insular area, ventral part, layer 6b",0,0,0,0.001334,0.001451,0.002785,0,0,0,,,"Agranular insular area, ventral part, layer 6b",0,0,0,0.001414,0.001166,0.00258,0,0,0,,,"Agranular insular area, ventral part, layer 6b",0,0,0,0.001414,0.001166,0.00258,0,0,0
,alveus,0,0,0,0.387866,0.377258,0.765124,0,0,,,alveus,0,0,0,0.6941229999999999,0.705716,1.3998389999999998,0,0,0,,,alveus,0,0,0,0.735581,0.770904,1.506485,0,0,0,,,alveus,0,0,0,0.735581,0.770904,1.506485,0,0,0,,,alveus,0,0,0,0.963981,0.822064,1.786045,0,0,0,,,alveus,0,0,0,0.963981,0.822064,1.786045,0,0,0
,amygdalar capsule,0,0,0,0.028954,0.036279,0.065233,0,0,,,amygdalar capsule,0,0,0,0.060365,0.063142,0.12350699999999999,0,0,0,,,amygdalar capsule,0,0,0,0.066048,0.072779,0.138827,0,0,0,,,amygdalar capsule,0,0,0,0.066048,0.072779,0.138827,0,0,0,,,amygdalar capsule,0,0,0,0.061437,0.070175,0.131612,0,0,0,,,amygdalar capsule,0,0,0,0.061437,0.070175,0.131612,0,0,0
,"Anterior area, layer 6b",0,0,0,0.009002,0.006834,0.015836,0,0,,,"Anterior area, layer 6b",0,15,15,0.024645,0.026169,0.050814,0,573.1972945087699,-15,,,"Anterior area, layer 6b",0,0,0,0.025,0.030419,0.055419,0,0,0,,,"Anterior area, layer 6b",0,0,0,0.025,0.030419,0.055419,0,0,0,,,"Anterior area, layer 6b",0,0,0,0.026913,0.027456,0.054369,0,0,0,,,"Anterior area, layer 6b",0,0,0,0.026913,0.027456,0.054369,0,0,0
,"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.147845,0.151411,0.299256,0,0,,,"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.240963,0.23870300000000003,0.479666,0,0,0,,,"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.278071,0.276048,0.554119,0,0,0,,,"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.278071,0.276048,0.554119,0,0,0,,,"Anterior cingulate area, dorsal part, layer 1",74,17,91,0.267334,0.259541,0.526875,276.8072898,65.50024852,-91,,,"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.267334,0.259541,0.526875,0,0,0
,"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.131647,0.138971,0.270618,0,0,,,"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.244955,0.235913,0.480868,0,0,0,,,"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.276084,0.27521,0.551294,0,0,0,,,"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.276084,0.27521,0.551294,0,0,0,,,"Anterior cingulate area, dorsal part, layer 2/3",148,0,148,0.274436,0.257223,0.531659,539.2878485,0,-148,,,"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.274436,0.257223,0.531659,0,0,0
,"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.006123,0.006105,0.012228,0,0,,,"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.013538,0.012742,0.02628,0,0,0,,,"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.015099,0.01457,0.029669,0,0,0,,,"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.015099,0.01457,0.029669,0,0,0,,,"Anterior cingulate area, dorsal part, layer 6b",1,0,1,0.018451,0.015256,0.033707,54.19760447,0,-1,,,"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.018451,0.015256,0.033707,0,0,0
,"Anterior cingulate area, ventral part, 6a",0,0,0,0.091078,0.094175,0.185253,0,0,,,"Anterior cingulate area, ventral part, 6a",0,0,0,0.209779,0.20436300000000002,0.414142,0,0,0,,,"Anterior cingulate area, ventral part, 6a",0,0,0,0.203882,0.201696,0.405578,0,0,0,,,"Anterior cingulate area, ventral part, 6a",0,0,0,0.203882,0.201696,0.405578,0,0,0,,,"Anterior cingulate area, ventral part, 6a",0,0,0,0.275818,0.240778,0.516596,0,0,0,,,"Anterior cingulate area, ventral part, 6a",0,0,0,0.275818,0.240778,0.516596,0,0,0
,"Anterior cingulate area, ventral part, 6b",0,0,0,0.017575,0.017833,0.035408,0,0,,,"Anterior cingulate area, ventral part, 6b",0,0,0,0.035426,0.034196,0.069622,0,0,0,,,"Anterior cingulate area, ventral part, 6b",0,0,0,0.035952,0.033757,0.069709,0,0,0,,,"Anterior cingulate area, ventral part, 6b",0,0,0,0.035952,0.033757,0.069709,0,0,0,,,"Anterior cingulate area, ventral part, 6b",0,0,0,0.050142,0.041214,0.091356,0,0,0,,,"Anterior cingulate area, ventral part, 6b",0,0,0,0.050142,0.041214,0.091356,0,0,0
,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.099472,0.100036,0.199508,0,0,,,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.204155,0.204819,0.408974,0,0,0,,,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.265528,0.251458,0.516986,0,0,0,,,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.265528,0.251458,0.516986,0,0,0,,,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.233833,0.230698,0.464531,0,0,0,,,"Anterior cingulate area, ventral part, layer 1",0,0,0,0.233833,0.230698,0.464531,0,0,0
,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.109144,0.113035,0.222179,0,0,,,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.233079,0.233028,0.466107,0,0,0,,,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.29731,0.275085,0.572395,0,0,0,,,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.29731,0.275085,0.572395,0,0,0,,,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.267731,0.257586,0.525317,0,0,0,,,"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.267731,0.257586,0.525317,0,0,0
,"anterior commissure, temporal limb",0,0,0,0.044117,0.047195,0.091312,0,0,,,"anterior commissure, temporal limb",0,0,0,0.098342,0.10288800000000001,0.20123,0,0,0,,,"anterior commissure, temporal limb",0,0,0,0.142147,0.13057,0.272717,0,0,0,,,"anterior commissure, temporal limb",0,0,0,0.142147,0.13057,0.272717,0,0,0,,,"anterior commissure, temporal limb",0,0,0,0.122457,0.095699,0.218156,0,0,0,,,"anterior commissure, temporal limb",0,0,0,0.122457,0.095699,0.218156,0,0,0
,Anterior tegmental nucleus,0,0,0,0.009324,0.009797,0.019121,0,0,,,Anterior tegmental nucleus,0,0,0,0.023484,0.024561000000000003,0.048045,0,0,0,,,Anterior tegmental nucleus,0,0,0,0.031451,0.033729,0.06518,0,0,0,,,Anterior tegmental nucleus,0,0,0,0.031451,0.033729,0.06518,0,0,0,,,Anterior tegmental nucleus,2,0,2,0.027802,0.029854,0.057656,71.9372707,0,-2,,,Anterior tegmental nucleus,0,0,0,0.027802,0.029854,0.057656,0,0,0
,Anterodorsal nucleus,0,0,0,0.075888,0.061014,0.136902,0,0,,,Anterodorsal nucleus,0,0,0,0.123794,0.094349,0.21814299999999998,0,0,0,,,Anterodorsal nucleus,0,0,0,0.092578,0.089441,0.182019,0,0,0,,,Anterodorsal nucleus,0,0,0,0.092578,0.089441,0.182019,0,0,0,,,Anterodorsal nucleus,0,0,0,0.132677,0.128643,0.26132,0,0,0,,,Anterodorsal nucleus,0,0,0,0.132677,0.128643,0.26132,0,0,0
,Anterodorsal preoptic nucleus,0,0,0,0.018916,0.017959,0.036875,0,0,,,Anterodorsal preoptic nucleus,0,0,0,0.04152,0.045933,0.087453,0,0,0,,,Anterodorsal preoptic nucleus,0,0,0,0.053234,0.052082,0.105316,0,0,0,,,Anterodorsal preoptic nucleus,0,0,0,0.053234,0.052082,0.105316,0,0,0,,,Anterodorsal preoptic nucleus,0,0,0,0.043281,0.037513,0.080794,0,0,0,,,Anterodorsal preoptic nucleus,0,0,0,0.043281,0.037513,0.080794,0,0,0
,"Anterolateral visual area, layer 1",0,0,0,0.034814,0.032594,0.067408,0,0,,,"Anterolateral visual area, layer 1",0,0,0,0.048018,0.05186,0.099878,0,0,0,,,"Anterolateral visual area, layer 1",0,0,0,0.051578,0.052839,0.104417,0,0,0,,,"Anterolateral visual area, layer 1",0,0,0,0.051578,0.052839,0.104417,0,0,0,,,"Anterolateral visual area, layer 1",0,0,0,0.054854,0.054742,0.109596,0,0,0,,,"Anterolateral visual area, layer 1",0,0,0,0.054854,0.054742,0.109596,0,0,0
,"Anterolateral visual area, layer 2/3",0,0,0,0.044058,0.046368,0.090426,0,0,,,"Anterolateral visual area, layer 2/3",0,0,0,0.078308,0.084896,0.16320400000000002,0,0,0,,,"Anterolateral visual area, layer 2/3",0,0,0,0.081541,0.085053,0.166594,0,0,0,,,"Anterolateral visual area, layer 2/3",0,0,0,0.081541,0.085053,0.166594,0,0,0,,,"Anterolateral visual area, layer 2/3",0,0,0,0.085374,0.085222,0.170596,0,0,0,,,"Anterolateral visual area, layer 2/3",0,0,0,0.085374,0.085222,0.170596,0,0,0
,"Anterolateral visual area, layer 4",0,0,0,0.018723,0.021273,0.039996,0,0,,,"Anterolateral visual area, layer 4",0,0,0,0.039232,0.043567,0.082799,0,0,0,,,"Anterolateral visual area, layer 4",0,0,0,0.040699,0.043939,0.084638,0,0,0,,,"Anterolateral visual area, layer 4",0,0,0,0.040699,0.043939,0.084638,0,0,0,,,"Anterolateral visual area, layer 4",0,0,0,0.042245,0.042238,0.084483,0,0,0,,,"Anterolateral visual area, layer 4",0,0,0,0.042245,0.042238,0.084483,0,0,0
,"Anterolateral visual area, layer 6a",0,0,0,0.016716,0.019653,0.036369,0,0,,,"Anterolateral visual area, layer 6a",0,0,0,0.037449,0.042293,0.079742,0,0,0,,,"Anterolateral visual area, layer 6a",0,0,0,0.042491,0.047873,0.090364,0,0,0,,,"Anterolateral visual area, layer 6a",0,0,0,0.042491,0.047873,0.090364,0,0,0,,,"Anterolateral visual area, layer 6a",0,0,0,0.039893,0.041732,0.081625,0,0,0,,,"Anterolateral visual area, layer 6a",0,0,0,0.039893,0.041732,0.081625,0,0,0
,"Anterolateral visual area, layer 6b",0,0,0,0.003307,0.003854,0.007161,0,0,,,"Anterolateral visual area, layer 6b",0,0,0,0.007317,0.008145,0.015462,0,0,0,,,"Anterolateral visual area, layer 6b",0,0,0,0.008534,0.009643,0.018177,0,0,0,,,"Anterolateral visual area, layer 6b",0,0,0,0.008534,0.009643,0.018177,0,0,0,,,"Anterolateral visual area, layer 6b",0,0,0,0.007634,0.008405,0.016039,0,0,0,,,"Anterolateral visual area, layer 6b",0,0,0,0.007634,0.008405,0.016039,0,0,0
,"Anteromedial nucleus, ventral part",0,0,0,0.047222,0.048153,0.095375,0,0,,,"Anteromedial nucleus, ventral part",0,0,0,0.096777,0.087406,0.184183,0,0,0,,,"Anteromedial nucleus, ventral part",0,0,0,0.100713,0.101811,0.202524,0,0,0,,,"Anteromedial nucleus, ventral part",0,0,0,0.100713,0.101811,0.202524,0,0,0,,,"Anteromedial nucleus, ventral part",0,0,0,0.119959,0.10156,0.221519,0,0,0,,,"Anteromedial nucleus, ventral part",0,0,0,0.119959,0.10156,0.221519,0,0,0
,"Anteromedial visual area, layer 6b",0,0,0,0.148883,0.12831,0.277193,0,0,,,"Anteromedial visual area, layer 6b",0,0,0,0.016156999999999998,0.016166,0.032323000000000005,0,0,0,,,"Anteromedial visual area, layer 6b",0,0,0,0.016707,0.021307,0.038014,0,0,0,,,"Anteromedial visual area, layer 6b",0,0,0,0.016707,0.021307,0.038014,0,0,0,,,"Anteromedial visual area, layer 6b",0,0,0,0.017741,0.018448,0.036189,0,0,0,,,"Anteromedial visual area, layer 6b",0,0,0,0.017741,0.018448,0.036189,0,0,0
,Anteroventral nucleus of thalamus,0,0,0,0.028394,0.027331,0.055725,0,0,,,Anteroventral nucleus of thalamus,0,0,0,0.27378800000000003,0.234774,0.508562,0,0,0,,,Anteroventral nucleus of thalamus,0,0,0,0.249758,0.207001,0.456759,0,0,0,,,Anteroventral nucleus of thalamus,0,0,0,0.249758,0.207001,0.456759,0,0,0,,,Anteroventral nucleus of thalamus,0,0,0,0.346109,0.332266,0.678375,0,0,0,,,Anteroventral nucleus of thalamus,0,0,0,0.346109,0.332266,0.678375,0,0,0
,Anteroventral periventricular nucleus,0,0,0,0.015473,0.013942,0.029415,0,0,,,Anteroventral periventricular nucleus,0,0,0,0.07251,0.071265,0.143775,0,0,0,,,Anteroventral periventricular nucleus,0,0,0,0.062492,0.061957,0.124449,0,0,0,,,Anteroventral periventricular nucleus,0,0,0,0.062492,0.061957,0.124449,0,0,0,,,Anteroventral periventricular nucleus,0,0,0,0.053865,0.052626,0.106491,0,0,0,,,Anteroventral periventricular nucleus,0,0,0,0.053865,0.052626,0.106491,0,0,0
,Anteroventral preoptic nucleus,0,0,0,1.082443,1.157894,2.240337,2.771508523,5.181821479,,,Anteroventral preoptic nucleus,0,0,0,0.0366,0.037122,0.073722,0,0,0,,,Anteroventral preoptic nucleus,0,0,0,0.040652,0.037123,0.077775,0,0,0,,,Anteroventral preoptic nucleus,0,0,0,0.040652,0.037123,0.077775,0,0,0,,,Anteroventral preoptic nucleus,0,0,0,0.032501,0.027638,0.060139,0,0,0,,,Anteroventral preoptic nucleus,0,0,0,0.032501,0.027638,0.060139,0,0,0
,Arcuate hypothalamic nucleus,0,0,0,0.021058,0.020941,0.041999,189.9515624,0,,,Arcuate hypothalamic nucleus,2,7,9,0.199033,0.20917,0.40820300000000004,10.048584908030326,33.46560214179854,-9,,,Arcuate hypothalamic nucleus,0,0,0,0.189134,0.219259,0.408393,0,0,0,,,Arcuate hypothalamic nucleus,0,0,0,0.189134,0.219259,0.408393,0,0,0,,,Arcuate hypothalamic nucleus,9,5,14,0.150213,0.152583,0.302796,59.91492081,32.76905029,-14,,,Arcuate hypothalamic nucleus,1,1,2,0.150213,0.152583,0.302796,6.657213424,6.553810057,-2
,Area prostriata,0,0,0,0.115736,0.11996,0.235696,0,0,,,Area prostriata,0,0,0,0.118677,0.128372,0.247049,0,0,0,,,Area prostriata,0,0,0,0.099466,0.104775,0.204241,0,0,0,,,Area prostriata,0,0,0,0.099466,0.104775,0.204241,0,0,0,,,Area prostriata,0,0,0,0.111093,0.097018,0.208111,0,0,0,,,Area prostriata,0,0,0,0.111093,0.097018,0.208111,0,0,0
,auditory radiation,0,0,0,0.003593,0.00365,0.007243,1391.594768,1369.863014,,,auditory radiation,0,0,0,0.18244200000000002,0.184904,0.367346,0,0,0,,,auditory radiation,0,0,0,0.197842,0.215238,0.41308,0,0,0,,,auditory radiation,0,0,0,0.197842,0.215238,0.41308,0,0,0,,,auditory radiation,0,0,0,0.192241,0.196569,0.38881,0,0,0,,,auditory radiation,0,0,0,0.192241,0.196569,0.38881,0,0,0
,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.071771,0.0699,0.141671,0,42.91845494,,,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.314184,0.334882,0.6490659999999999,0,0,0,,,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.397314,0.45003,0.847344,0,0,0,,,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.397314,0.45003,0.847344,0,0,0,,,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.399429,0.424409,0.823838,0,0,0,,,"Basolateral amygdalar nucleus, posterior part",0,0,0,0.399429,0.424409,0.823838,0,0,0
,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.26811,0.27218,0.54029,11.18943717,40.41443163,,,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.31904,0.333278,0.6523180000000001,0,0,0,,,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.471169,0.524941,0.99611,0,0,0,,,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.471169,0.524941,0.99611,0,0,0,,,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.367347,0.37116,0.738507,0,0,0,,,"Basomedial amygdalar nucleus, posterior part",0,0,0,0.367347,0.37116,0.738507,0,0,0
,Bed nucleus of the anterior commissure,0,0,0,0.053113,0.045366,0.098479,0,0,,,Bed nucleus of the anterior commissure,0,0,0,0.003235,0.003251,0.006486,0,0,0,,,Bed nucleus of the anterior commissure,0,0,0,0.003852,0.003222,0.007074,0,0,0,,,Bed nucleus of the anterior commissure,0,0,0,0.003852,0.003222,0.007074,0,0,0,,,Bed nucleus of the anterior commissure,0,0,0,0.003983,0.003211,0.007194,0,0,0,,,Bed nucleus of the anterior commissure,0,0,0,0.003983,0.003211,0.007194,0,0,0
,brachium of the inferior colliculus,0,0,0,0.045772,0.046078,0.09185,0,0,,,brachium of the inferior colliculus,0,0,0,0.095868,0.101885,0.197753,0,0,0,,,brachium of the inferior colliculus,0,0,0,0.089988,0.085979,0.175967,0,0,0,,,brachium of the inferior colliculus,0,0,0,0.089988,0.085979,0.175967,0,0,0,,,brachium of the inferior colliculus,0,0,0,0.104517,0.089867,0.194384,0,0,0,,,brachium of the inferior colliculus,0,0,0,0.104517,0.089867,0.194384,0,0,0
,brachium of the superior colliculus,0,0,0,6.695229,6.943499,13.638728,1.344240802,0.720098037,,,brachium of the superior colliculus,0,0,0,0.094873,0.095763,0.190636,0,0,0,,,brachium of the superior colliculus,0,0,0,0.110338,0.106351,0.216689,0,0,0,,,brachium of the superior colliculus,0,0,0,0.110338,0.106351,0.216689,0,0,0,,,brachium of the superior colliculus,0,0,0,0.117263,0.105634,0.222897,0,0,0,,,brachium of the superior colliculus,0,0,0,0.117263,0.105634,0.222897,0,0,0
,"Central amygdalar nucleus, capsular part",0,0,0,0.0432,0.045992,0.089192,0,43.48582362,,,"Central amygdalar nucleus, capsular part",0,0,0,0.12942099999999998,0.129822,0.259243,0,0,0,,,"Central amygdalar nucleus, capsular part",0,0,0,0.208123,0.245472,0.453595,0,0,0,,,"Central amygdalar nucleus, capsular part",0,0,0,0.208123,0.245472,0.453595,0,0,0,,,"Central amygdalar nucleus, capsular part",0,2,2,0.151872,0.132151,0.284023,0,15.13420254,-2,,,"Central amygdalar nucleus, capsular part",0,0,0,0.151872,0.132151,0.284023,0,0,0
,"central canal, spinal cord/medulla",0,0,0,0.10064,0.093877,0.194517,0,0,,,"central canal, spinal cord/medulla",0,0,0,0.000314,0.000325,0.000639,0,0,0,,,"central canal, spinal cord/medulla",0,0,0,0.000249,0.000236,0.000485,0,0,0,,,"central canal, spinal cord/medulla",0,0,0,0.000249,0.000236,0.000485,0,0,0,,,"central canal, spinal cord/medulla",0,0,0,0.000394,0.000394,0.000788,0,0,0,,,"central canal, spinal cord/medulla",0,0,0,0.000394,0.000394,0.000788,0,0,0
