label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,10.203125,518.125,64.0,491.328125,633.0,484.0,31445,46.0,10.681046195628953,True
2,1146.6315789473683,13.136842105263158,95.0,597.3789473684211,1005.0,561.0,56751,46.0,12.98649885580701,True
3,1429.9819494584838,34.791616526273565,4986.0,446.29322101885276,919.0,444.0,2225218,46.0,9.702026543867012,True
4,1126.1785714285713,37.19642857142857,56.0,492.5,670.0,494.0,27580,46.0,10.70652173910716,True
5,1163.5405405405406,132.2972972972973,37.0,512.7567567567568,777.0,504.0,18972,46.0,11.146886016427,True
6,14.0,507.3658536585366,41.0,623.3658536585366,939.0,618.0,25558,46.0,13.551431601243074,True
7,133.6969696969697,454.030303030303,33.0,511.3333333333333,705.0,519.0,16874,46.0,11.11594202896134,True
8,154.62790697674419,398.90697674418607,43.0,834.0232558139535,995.0,833.0,35863,46.0,18.130940343742182,True
9,422.80434782608694,142.93478260869566,46.0,594.3695652173913,850.0,589.5,27341,46.0,12.921077504697807,True
10,63.625,502.9166666666667,48.0,566.7083333333334,734.0,566.0,27202,46.0,12.319746376784812,True
11,1274.5607476635514,59.495327102803735,107.0,739.1028037383178,1028.0,746.0,79084,46.0,16.06745225514589,True
12,1023.2758495695514,1239.3223380154054,11035.0,667.3945627548709,1093.0,690.0,7364699,46.0,14.508577451161305,True
13,3.5238095238095237,522.8095238095239,84.0,487.1904761904762,702.0,472.5,40924,46.0,10.591097308465589,True
14,1136.8648648648648,527.1216216216217,74.0,1349.1756756756756,2234.0,1339.0,99839,46.0,29.32990599288571,True
15,1138.8469387755101,21.408163265306122,98.0,480.31632653061223,648.0,476.0,47071,46.0,10.441659272381914,True
16,1167.878048780488,232.1219512195122,82.0,667.2317073170732,1029.0,663.0,54713,46.0,14.505037115557014,True
17,197.51923076923077,367.28846153846155,52.0,748.9423076923077,984.0,744.0,38945,46.0,16.281354515014772,True
18,441.11970270849713,975.8372757807475,13993.0,553.0787536625455,1197.0,551.0,7739231,46.0,12.023451166550938,True
19,1455.4636363636364,1353.290909090909,110.0,607.6727272727272,1634.0,532.5,66844,46.0,13.210276679813179,True
20,70.3,394.65,40.0,588.025,702.0,591.5,23521,46.0,12.783152173885252,True
21,1473.9537100068073,1136.6623553437712,1469.0,577.3376446562287,1060.0,615.0,848109,46.0,12.550818362064643,True
22,404.73333333333335,226.23333333333332,30.0,681.4,772.0,694.0,20442,46.0,14.813043478228666,True
23,383.0,30.25,28.0,475.39285714285717,587.0,486.0,13311,46.0,10.33462732917008,True
24,39.20183486238532,372.20183486238534,109.0,932.743119266055,1432.0,889.0,101669,46.0,20.27702433182668,True
25,44.33463035019455,1437.2716169476869,9252.0,636.2163856463467,1078.0,641.5,5886274,46.0,13.830790992281816,True
26,487.8378378378378,294.6756756756757,74.0,1354.054054054054,1974.0,1367.5,100200,46.0,29.435957696763268,True
27,600.2777777777778,972.3148148148148,54.0,967.3703703703703,1506.0,909.5,52238,46.0,21.029790660179724,True
28,63.121309008839575,1288.0746034731364,15951.0,718.9378095417215,1352.0,720.0,11467777,46.0,15.629082816090405,True
29,1228.5,25.346153846153847,26.0,396.84615384615387,527.0,391.5,10318,46.0,8.627090300984591,True
30,1198.6233766233765,271.1038961038961,77.0,824.9090909090909,1143.0,828.0,63518,46.0,17.932806324071688,True
31,1203.5725190839694,252.25190839694656,131.0,638.0,874.0,638.0,83578,46.0,13.869565217361153,True
32,64.23529411764706,495.94117647058823,34.0,591.5294117647059,733.0,582.5,20112,46.0,12.859335038335216,True
33,17.620689655172413,546.7586206896551,29.0,570.448275862069,779.0,545.0,16543,46.0,12.401049475235409,True
34,1150.1489361702127,17.404255319148938,47.0,434.7659574468085,553.0,434.0,20434,46.0,9.451433857518769,True
35,1255.3649635036497,81.34306569343066,137.0,766.2627737226277,1543.0,734.0,104978,46.0,16.657886385238303,True
36,1128.0,1219.0808823529412,136.0,342.90441176470586,899.0,303.5,46635,46.0,7.454443733999139,True
37,405.2519031481754,1103.641618781003,20361.0,569.483473306812,1171.0,573.0,11595253,46.0,12.380075506642912,True
38,9.04054054054054,528.2297297297297,74.0,540.6621621621622,777.0,530.0,40009,46.0,11.753525264369278,True
39,1231.2857142857142,115.48051948051948,77.0,712.2727272727273,944.0,706.0,54845,46.0,15.484189723286496,True
40,1229.7008241015942,482.76614428532827,14804.0,375.75560659281274,2064.0,376.0,5562686,46.0,8.168600143304259,True
