structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Accessory olfactory bulb, glomerular layer",0.01541,0.022827999999999998,0.038237999999999994
Rhomboid nucleus,0.0337,0.03732,0.07102
pyramid,0.094469,0.106002,0.200471
Lateral hypothalamic area,0.419626,0.383422,0.803048
"Accessory olfactory bulb, granular layer",0.017831,0.039938,0.057769
Rostral linear nucleus raphe,0.010191,0.012704,0.022895
pyramidal decussation,0.006457,0.007337,0.013794
"Primary somatosensory area, barrel field, layer 2/3",0.373121,0.339051,0.712172
Medial vestibular nucleus,0.46699799999999997,0.46906499999999995,0.9360629999999999
Linear nucleus of the medulla,0.024256999999999997,0.017192,0.041449
"Accessory olfactory bulb, mitral layer",0.02512,0.046758999999999995,0.071879
Nucleus raphe magnus,0.021285,0.032081,0.053366
Area postrema,0.020026,0.022715,0.042741
Lateral vestibular nucleus,0.049796,0.053357999999999996,0.103154
Lateral mammillary nucleus,0.013658,0.011014999999999999,0.024673
"Anterior cingulate area, dorsal part, layer 2/3",0.13144699999999998,0.136717,0.26816399999999996
Red nucleus,0.233614,0.215297,0.44891099999999995
Anterior pretectal nucleus,0.352887,0.358437,0.7113240000000001
Superior vestibular nucleus,0.07731099999999999,0.079637,0.15694799999999998
Lateral posterior nucleus of the thalamus,0.31316099999999997,0.316301,0.629462
Nucleus raphe obscurus,0.005893,0.012107,0.018
Arcuate hypothalamic nucleus,0.061676999999999996,0.0657,0.127377
Spinal vestibular nucleus,0.18288,0.190459,0.373339
Lateral preoptic area,0.118767,0.119326,0.238093
sensory root of the trigeminal nerve,0.12911799999999998,0.145814,0.27493199999999995
Nucleus raphe pallidus,0.009798,0.014662999999999999,0.024460999999999997
Anterior tegmental nucleus,0.009015,0.009196,0.018210999999999998
"Anterolateral visual area, layer 5",0.040336,0.033491,0.073827
"Temporal association areas, layer 4",0.062945,0.064593,0.12753799999999998
solitary tract,0.0032559999999999998,0.003519,0.006775
Nucleus raphe pontis,0.020738,0.022126999999999997,0.042865
"Dorsal auditory area, layer 6b",0.006954999999999999,0.006470999999999999,0.013425999999999999
"Midbrain reticular nucleus, retrorubral area",0.046006,0.041699,0.087705
"Posterior auditory area, layer 6a",0.013434999999999999,0.012867,0.026302
"Lateral septal nucleus, caudal (caudodorsal) part",0.204729,0.21590099999999998,0.42062999999999995
"Primary auditory area, layer 2/3",0.09081099999999999,0.11603999999999999,0.20685099999999998
"Dorsal auditory area, layer 5",0.075696,0.073961,0.14965699999999998
Anteroventral nucleus of thalamus,0.12839799999999998,0.12939499999999998,0.25779299999999994
"posteromedial visual area, layer 6a",0.024097999999999998,0.024391,0.048489
"Lateral septal nucleus, rostral (rostroventral) part",0.42561099999999996,0.427322,0.8529329999999999
"Nucleus of the lateral olfactory tract, molecular layer",0.026781,0.035544,0.062325
Reticular nucleus of the thalamus,0.387607,0.36533299999999996,0.7529399999999999
Anteroventral preoptic nucleus,0.013597999999999999,0.015042,0.02864
"Lateral septal nucleus, ventral part",0.11076899999999999,0.114422,0.22519099999999997
