label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,317.8278985507246,428.606884057971,552.0,127.05615942028986,509.0,119.0,70135,64.0,1.985252490938927,False
2,289.9282296650718,481.1004784688995,209.0,118.72727272727273,395.0,96.0,24814,64.0,1.855113636360738,False
3,649.5133928571429,774.6004464285714,448.0,130.296875,272.0,126.0,58373,64.0,2.035888671871819,True
4,656.8362068965517,455.91379310344826,116.0,93.13793103448276,256.0,84.0,10804,64.0,1.4552801724115192,False
5,320.2554744525547,530.7299270072992,274.0,89.97810218978103,312.0,71.0,24654,64.0,1.4059078467131318,False
6,346.5919540229885,450.18390804597703,174.0,152.82758620689654,464.0,110.5,26592,64.0,2.387931034479027,True
7,639.6602409638555,464.98072289156624,415.0,104.57590361445783,489.0,85.0,43399,64.0,1.6339984939733505,False
8,403.4660194174757,641.4271844660194,103.0,129.33009708737865,208.0,129.0,13321,64.0,2.020782766987134,True
9,552.25,672.3970588235294,136.0,145.75735294117646,242.0,145.0,19823,64.0,2.2774586397023238,True
10,115.00956937799043,684.9043062200957,209.0,203.688995215311,516.0,186.0,42571,64.0,3.1826405502342614,True
11,709.5147928994082,804.4733727810651,169.0,138.39644970414201,306.0,131.0,23389,64.0,2.16244452662384,True
12,892.1162790697674,771.1918604651163,172.0,159.72093023255815,309.0,161.5,27472,64.0,2.4956395348798215,True
13,268.48936170212767,409.5673758865248,141.0,177.02836879432624,436.0,169.0,24961,64.0,2.7660682624070256,True
14,909.5584415584416,313.24675324675326,77.0,153.05194805194805,300.0,150.0,11785,64.0,2.3914366883079516,True
15,690.6639344262295,458.60655737704917,122.0,108.08196721311475,219.0,100.5,13186,64.0,1.6887807377022792,False
16,331.97076023391816,476.69590643274853,171.0,216.22222222222223,548.0,167.0,36974,64.0,3.3784722222169434,True
17,192.60504201680672,773.5882352941177,119.0,184.4033613445378,288.0,184.0,21944,64.0,2.881302521003901,True
