epoch,accuracy,loss,val_accuracy,val_loss
0,0.7425910234451294,0.5129607319831848,0.8326995968818665,0.36565741896629333
1,0.8378492593765259,0.3819989562034607,0.9239543676376343,0.28778964281082153
2,0.8873835802078247,0.2803714871406555,0.9163498282432556,0.19248636066913605
3,0.9233700037002563,0.19775740802288055,0.927756667137146,0.16362428665161133
4,0.9284504652023315,0.18084120750427246,0.9733840227127075,0.056343186646699905
5,0.9411515593528748,0.15163393318653107,0.9733840227127075,0.058482155203819275
6,0.9568162560462952,0.12643954157829285,0.9847908616065979,0.03140949457883835
7,0.9640135765075684,0.11285653710365295,0.9961977005004883,0.020177967846393585
8,0.9576629996299744,0.12539008259773254,0.9923954606056213,0.026102455332875252
9,0.9690939784049988,0.09109639376401901,0.9505703449249268,0.117498978972435
10,0.9597798585891724,0.11466247588396072,0.9733840227127075,0.055137425661087036
11,0.9644368886947632,0.09950216859579086,0.9885931611061096,0.029411915689706802
12,0.9682472348213196,0.10201749950647354,0.9961977005004883,0.008051934652030468
13,0.9648602604866028,0.09974989295005798,0.980988621711731,0.04395211115479469
14,0.969940721988678,0.0908084437251091,0.9961977005004883,0.018283797428011894
15,0.9729043245315552,0.09143973886966705,1.0,0.013419046066701412
16,0.9707874655723572,0.09123807400465012,1.0,0.0071170818991959095
17,0.9745978116989136,0.08671100437641144,1.0,0.002946756547316909
18,0.972057580947876,0.08767390251159668,1.0,0.005326335784047842
19,0.9665537476539612,0.0967024713754654,0.9923954606056213,0.01887558214366436
20,0.9716342091560364,0.08836747705936432,1.0,0.013347274623811245
21,0.9716342091560364,0.08702073991298676,0.9847908616065979,0.03185458481311798
22,0.972057580947876,0.07777482271194458,1.0,0.007624845486134291
23,0.9682472348213196,0.092598095536232,1.0,0.007863327860832214
24,0.9674004912376404,0.09268823266029358,0.9923954606056213,0.02594939060509205
25,0.9686706066131592,0.08752555400133133,0.9961977005004883,0.009722358547151089
26,0.9733276963233948,0.0883641168475151,1.0,0.010036516934633255
27,0.972057580947876,0.08349516987800598,1.0,0.008547027595341206
28,0.9813717007637024,0.06298056244850159,0.9847908616065979,0.030319228768348694
29,0.9801015853881836,0.06774730980396271,0.9961977005004883,0.007889041677117348
30,0.9775614142417908,0.07235684245824814,1.0,0.005145015195012093
31,0.974174439907074,0.08467526733875275,0.9847908616065979,0.023781318217515945
32,0.9733276963233948,0.07221804559230804,0.9771863222122192,0.04581862688064575
33,0.9750211834907532,0.07976040989160538,0.9961977005004883,0.0138018187135458
34,0.9801015853881836,0.06579150259494781,0.9733840227127075,0.04325228929519653
35,0.9805249571800232,0.06680377572774887,1.0,0.005305183120071888
36,0.9767146706581116,0.0689890906214714,0.9885931611061096,0.019954020157456398
37,0.9737510681152344,0.08592169731855392,1.0,0.0076556638814508915
38,0.9758679270744324,0.07218040525913239,0.9847908616065979,0.02678508311510086
39,0.981795072555542,0.06323361396789551,0.9961977005004883,0.009013388305902481
40,0.9792548418045044,0.06367780268192291,1.0,0.007896337658166885
41,0.9826418161392212,0.05569971725344658,0.9885931611061096,0.018288586288690567
42,0.9775614142417908,0.08365665376186371,0.9695817232131958,0.05557244271039963
43,0.9788314700126648,0.07080235332250595,1.0,0.007114717736840248
44,0.9792548418045044,0.0583622083067894,0.9733840227127075,0.06549639254808426
45,0.97840815782547,0.06582770496606827,1.0,0.0062764366157352924
46,0.9779847860336304,0.06757006794214249,0.9961977005004883,0.008929737843573093
