label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,318.6296296296296,439.8425925925926,108.0,558.5925925925926,1067.0,540.0,60328,140.0,3.9899470899442404,True
2,111.35570469798658,852.1006711409397,149.0,445.9731543624161,814.0,408.0,66450,140.0,3.1855225311578397,True
3,1202.15503875969,428.16279069767444,129.0,479.1162790697674,1178.0,458.0,61806,140.0,3.4222591362101804,True
4,438.45054945054943,787.0879120879121,91.0,416.7032967032967,684.0,414.0,37920,140.0,2.9764521193071363,True
5,1251.3035714285713,573.5,168.0,361.32738095238096,1040.0,285.5,60703,140.0,2.580909863943735,True
6,1099.3513513513512,709.8243243243244,74.0,303.63513513513516,663.0,295.5,22469,140.0,2.168822393820845,True
7,426.43283582089555,729.3432835820895,67.0,400.92537313432837,630.0,396.0,26862,140.0,2.8637526652431573,True
8,518.3061224489796,656.8571428571429,98.0,409.31632653061223,607.0,409.0,40113,140.0,2.9236880466451423,True
9,340.81060606060606,866.219696969697,132.0,449.49242424242425,874.0,426.0,59333,140.0,3.2106601731578803,True
10,84.70114942528735,792.2528735632184,87.0,456.51724137931035,674.0,453.0,39717,140.0,3.2608374384213166,True
11,951.4056603773585,563.433962264151,106.0,301.2169811320755,465.0,300.5,31929,140.0,2.151549865227574,True
12,280.11607142857144,825.7321428571429,112.0,462.0982142857143,669.0,458.0,51755,140.0,3.3007015306098877,True
13,241.24096385542168,895.0722891566265,83.0,388.7469879518072,670.0,379.0,32266,140.0,2.776764199653783,True
14,1217.2244897959183,581.1428571428571,49.0,377.16326530612247,529.0,390.0,18481,140.0,2.6940233236132363,True
15,1229.1733333333334,533.3066666666666,75.0,340.44,514.0,320.0,25533,140.0,2.431714285712549,True
16,1166.4545454545455,405.1818181818182,55.0,720.9090909090909,1114.0,718.0,39650,140.0,5.149350649346972,True
17,334.2391304347826,915.1086956521739,46.0,393.69565217391306,568.0,391.5,18110,140.0,2.8121118012402277,True
18,333.57142857142856,556.5238095238095,42.0,441.2857142857143,676.0,440.5,18534,140.0,3.1520408163242792,True
19,1178.8653846153845,456.75,52.0,571.3269230769231,1174.0,494.0,29709,140.0,4.080906593403679,True
20,277.25,896.4705882352941,68.0,419.7647058823529,802.0,393.0,28544,140.0,2.998319327728951,True
21,264.95238095238096,643.7142857142857,63.0,510.968253968254,688.0,504.0,32191,140.0,3.649773242627779,True
22,1202.6190476190477,403.46031746031747,63.0,547.5238095238095,915.0,548.0,34494,140.0,3.9108843537387035,True
23,235.35164835164835,541.2307692307693,91.0,447.42857142857144,879.0,381.0,40716,140.0,3.1959183673446563,True
24,1192.320512820513,389.05128205128204,78.0,511.8974358974359,778.0,503.0,39928,140.0,3.656410256407645,True
25,316.1012658227848,449.72151898734177,79.0,536.9240506329114,1091.0,526.0,42417,140.0,3.8351717902323426,True
26,251.8923076923077,919.6769230769231,65.0,342.5692307692308,532.0,337.0,22267,140.0,2.4469230769213293,True
27,330.2040816326531,847.795918367347,49.0,464.8775510204082,735.0,432.0,22779,140.0,3.3205539358576868,True
28,1231.304347826087,542.5652173913044,46.0,439.04347826086956,656.0,456.5,20196,140.0,3.136024844718257,True
29,172.35555555555555,735.0222222222222,90.0,450.0444444444444,645.0,445.0,40504,140.0,3.2146031746008785,True
30,1227.53125,434.15625,64.0,592.40625,1007.0,554.5,37914,140.0,4.231473214282692,True
31,1196.2333333333333,849.6333333333333,60.0,189.51666666666668,377.0,175.0,11371,140.0,1.3536904761895094,False
32,967.4615384615385,1456.326923076923,52.0,324.7692307692308,419.0,324.5,16888,140.0,2.319780219778563,True
