structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Accessory olfactory bulb, glomerular layer",0.009319,0.009245999999999999,0.018564999999999998
Rhomboid nucleus,0.007605,0.008496,0.016101
pyramid,0.046706,0.048395,0.09510099999999999
Lateral hypothalamic area,0.162176,0.17798999999999998,0.34016599999999997
"Accessory olfactory bulb, granular layer",0.015809,0.014254999999999999,0.030064
Rostral linear nucleus raphe,0.0042959999999999995,0.005297,0.009592999999999999
pyramidal decussation,0.005624,0.006388,0.012011999999999998
"Primary somatosensory area, barrel field, layer 2/3",0.138174,0.12158999999999999,0.259764
Medial vestibular nucleus,0.170367,0.16494599999999998,0.33531299999999997
Linear nucleus of the medulla,0.0062239999999999995,0.0069619999999999994,0.013186
"Accessory olfactory bulb, mitral layer",0.017887,0.017258,0.035144999999999996
Nucleus raphe magnus,0.008431,0.012315999999999999,0.020746999999999998
Area postrema,0.004312,0.004813,0.009125
Lateral vestibular nucleus,0.019035,0.020616,0.039651
Lateral mammillary nucleus,0.006234,0.0058969999999999995,0.012131
"Anterior cingulate area, dorsal part, layer 2/3",0.037808,0.036663999999999995,0.074472
Red nucleus,0.068339,0.07022099999999999,0.13856
Anterior pretectal nucleus,0.11316599999999999,0.10609299999999999,0.21925899999999998
Superior vestibular nucleus,0.023437,0.024043,0.047479999999999994
Lateral posterior nucleus of the thalamus,0.106454,0.093442,0.199896
Nucleus raphe obscurus,0.003351,0.006482,0.009833
Arcuate hypothalamic nucleus,0.026553999999999998,0.026593,0.053147
Spinal vestibular nucleus,0.055957,0.055479,0.11143600000000001
Lateral preoptic area,0.038946999999999996,0.043496,0.08244299999999999
sensory root of the trigeminal nerve,0.043525999999999995,0.045706,0.08923199999999999
Nucleus raphe pallidus,0.0052829999999999995,0.007918999999999999,0.013201999999999998
Anterior tegmental nucleus,0.004318,0.004379,0.008697
"Anterolateral visual area, layer 5",0.014247,0.013649,0.027895999999999997
"Temporal association areas, layer 4",0.023639,0.021609,0.045248
solitary tract,0.00083,0.0007859999999999999,0.0016159999999999998
Nucleus raphe pontis,0.012244999999999999,0.012941,0.025186
"Dorsal auditory area, layer 6b",0.002045,0.001963,0.004007999999999999
"Midbrain reticular nucleus, retrorubral area",0.011745,0.012064,0.023809
"Posterior auditory area, layer 6a",0.005124999999999999,0.00502,0.010145
"Lateral septal nucleus, caudal (caudodorsal) part",0.042078,0.036979,0.07905699999999999
"Primary auditory area, layer 2/3",0.034714999999999996,0.034744,0.06945899999999999
"Dorsal auditory area, layer 5",0.024016,0.023395,0.047410999999999995
Anteroventral nucleus of thalamus,0.036913,0.03342,0.070333
"posteromedial visual area, layer 6a",0.009273,0.007696,0.016968999999999998
"Lateral septal nucleus, rostral (rostroventral) part",0.140044,0.13625099999999998,0.27629499999999996
"Nucleus of the lateral olfactory tract, molecular layer",0.006454,0.00709,0.013544
Reticular nucleus of the thalamus,0.14346399999999998,0.128797,0.272261
Anteroventral preoptic nucleus,0.0064719999999999995,0.006751999999999999,0.013224
"Lateral septal nucleus, ventral part",0.042612,0.043932,0.086544
"Nucleus of the lateral olfactory tract, pyramidal layer",0.008587,0.010258999999999999,0.018845999999999998
"Posterolateral visual area, layer 2/3",0.014112,0.013033,0.027145
Nucleus sagulum,0.008468,0.008235,0.016703
Anteroventral periventricular nucleus,0.012931999999999999,0.013422,0.026354
"Retrosplenial area, dorsal part, layer 6a",0.043817999999999996,0.038013,0.08183099999999999
"Retrosplenial area, lateral agranular part, layer 6b",0.0020829999999999998,0.001669,0.0037519999999999997
Barrington's nucleus,0.00142,0.0014089999999999999,0.002829
"Anteromedial visual area, layer 1",0.010185,0.007725999999999999,0.017911
Suprachiasmatic nucleus,0.005488,0.005522,0.011009999999999999
Bed nucleus of the anterior commissure,0.00048699999999999997,0.000536,0.001023
"Orbital area, ventrolateral part, layer 2/3",0.031832,0.033635,0.065467
"Temporal association areas, layer 5",0.07077599999999999,0.064316,0.135092
Bed nucleus of the accessory olfactory tract,0.001544,0.001743,0.003287
"Anterior cingulate area, ventral part, layer 2/3",0.034436999999999995,0.032566,0.067003
Magnocellular nucleus,0.023216999999999998,0.026102999999999998,0.049319999999999996
stria terminalis,0.027656,0.024127,0.051782999999999996
"Basolateral amygdalar nucleus, anterior part",0.043969999999999995,0.055084999999999995,0.09905499999999999
"Prelimbic area, layer 2/3",0.023701,0.023327999999999998,0.047029
"Primary visual area, layer 6b",0.009632,0.009205999999999999,0.018838
Magnocellular reticular nucleus,0.052576,0.055382999999999995,0.107959
Septofimbrial nucleus,0.033153,0.033347,0.0665
"Basolateral amygdalar nucleus, posterior part",0.046388,0.053144,0.099532
Midbrain,0.567141,0.575302,1.142443
"Agranular insular area, posterior part, layer 6a",0.045898999999999995,0.03292,0.078819
Supragenual nucleus,0.0021939999999999998,0.002129,0.004323
"Primary motor area, Layer 1",0.129723,0.11851199999999999,0.24823499999999998
Subgeniculate nucleus,0.0024709999999999997,0.0021019999999999997,0.004572999999999999
