label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
2,1154.7592592592594,1493.1574074074074,108.0,39.24074172973633,125.0,36.0,0.9648577718290017,False,40.669975
3,1174.655737704918,1277.327868852459,61.0,49.62295150756836,167.0,50.0,1.2201372428923434,False,40.669975
4,1177.623595505618,1750.6966292134832,178.0,48.83707809448242,157.0,43.5,1.200814058954789,False,40.669975
5,1183.396,1796.616,500.0,47.948001861572266,269.0,45.0,1.1789533072141625,False,40.669975
6,1196.9565217391305,1774.9239130434783,92.0,48.85869598388672,124.0,49.0,1.2013456031530598,False,40.669975
7,1207.9156626506024,1681.0361445783133,249.0,49.220882415771484,142.0,46.0,1.2102511023421898,False,40.669975
9,1208.982142857143,1740.607142857143,56.0,46.92856979370117,129.0,45.0,1.1538873448959281,False,40.669975
10,1213.8108108108108,1768.2216216216216,185.0,49.037837982177734,140.0,46.0,1.2057503758890726,False,40.669975
12,1221.8374384236454,1354.8866995073893,406.0,44.49014663696289,159.0,40.0,1.0939309977404448,False,40.669975
13,1219.9380281690142,1452.892957746479,355.0,31.81690216064453,119.0,29.0,0.7823191910248101,False,40.669975
14,1222.7906976744187,1331.9577167019027,473.0,49.93234634399414,170.0,47.0,1.2277446937031662,False,40.669975
15,1222.0765714285715,1419.992,875.0,38.6091423034668,131.0,36.0,0.9493279018964694,False,40.669975
16,1223.6024096385543,1673.289156626506,83.0,53.16867446899414,142.0,54.0,1.3073200586415092,False,40.669975
17,1221.4979338842975,1392.3161157024792,968.0,42.860538482666016,147.0,40.0,1.0538619260715536,False,40.669975
18,1223.3403846153847,1307.1846153846154,520.0,49.46923065185547,147.0,46.0,1.216357529365308,False,40.669975
19,1233.3312883435583,1438.1472392638036,163.0,34.81595230102539,102.0,31.0,0.8560603260925639,False,40.669975
20,1238.068376068376,1672.2307692307693,117.0,45.81196594238281,107.0,46.0,1.1264321068828735,False,40.669975
21,1236.2441860465117,1145.5348837209303,86.0,44.3139533996582,138.0,38.5,1.0895987296215597,False,40.669975
23,1239.7368421052631,1527.4736842105262,57.0,41.26315689086914,100.0,36.0,1.014585246389073,False,40.669975
24,1239.8214285714287,1537.982142857143,56.0,42.19643020629883,123.0,39.0,1.0375327232190175,False,40.669975
25,1241.640625,1356.234375,64.0,42.515625,120.0,35.5,1.0453811369812005,False,40.669975
26,1244.0916030534352,1301.5610687022902,524.0,49.25190734863281,173.0,45.0,1.21101394846263,False,40.669975
27,1250.5093167701864,1404.6894409937888,322.0,41.00310516357422,137.0,36.5,1.0081910520110418,False,40.669975
28,1244.0582278481013,1265.2080168776372,2370.0,56.78017044067383,2110.0,47.0,1.3961201119178643,False,40.669975
29,1243.7590221187427,1576.0267753201397,859.0,44.149009704589844,182.0,40.0,1.0855430670859991,False,40.669975
30,1249.240425531915,1771.3234042553192,940.0,49.349998474121094,179.0,46.0,1.2134258290898279,False,40.669975
31,1247.8214285714287,1730.9464285714287,56.0,51.875,118.0,49.0,1.2755109793375912,False,40.669975
32,1249.651376146789,1378.834862385321,109.0,43.587154388427734,116.0,43.0,1.071728076732959,False,40.669975
33,1252.4114583333333,1538.4114583333333,192.0,40.70833206176758,118.0,37.5,1.0009431228010606,False,40.669975
35,1253.9612403100775,1425.7751937984497,129.0,39.356590270996094,164.0,38.0,0.9677062746977646,False,40.669975
36,1257.1800947867298,1450.2037914691944,211.0,31.829383850097656,111.0,29.0,0.7826260928453044,False,40.669975
37,1259.283185840708,1517.4070796460178,113.0,38.72566223144531,109.0,36.0,0.9521929129316159,False,40.669975
38,1259.2660550458716,1617.954128440367,109.0,43.91743087768555,149.0,44.0,1.0798489690368704,False,40.669975
39,1262.6020761245675,1387.1314878892733,289.0,42.22145462036133,133.0,40.0,1.0381480276024047,False,40.669975
40,1263.225,1473.4125,80.0,24.075000762939453,66.0,22.0,0.5919600539892078,False,40.669975
41,1268.2544642857142,1437.674107142857,224.0,36.68303680419922,112.0,34.0,0.9019685050448394,False,40.669975
42,1262.13704496788,1321.619914346895,934.0,48.4443244934082,202.0,44.0,1.1911569692132076,False,40.669975
43,1265.1156462585034,1363.561224489796,588.0,45.670066833496094,157.0,44.0,1.1229430683991488,False,40.669975
44,1268.3288590604027,1592.4442953020134,745.0,46.395973205566406,183.0,43.0,1.1407917729301713,False,40.669975
45,1273.2929292929293,1414.8989898989898,99.0,37.79798126220703,120.0,34.0,0.9293829416239346,False,40.669975
46,1272.3581081081081,1458.3513513513512,148.0,30.216217041015625,96.0,29.0,0.7429612836600106,False,40.669975
47,1269.250909090909,1540.749090909091,275.0,40.352725982666016,133.0,37.0,0.9921994224017694,False,40.669975
48,1274.9508771929825,1285.638596491228,285.0,48.30526351928711,172.0,45.0,1.1877377152510131,False,40.669975
49,1274.6184210526317,1509.3815789473683,76.0,37.31578826904297,111.0,33.0,0.9175267014901434,False,40.669975
50,1273.7362637362637,1683.0549450549452,91.0,46.19780349731445,154.0,45.0,1.1359191437514244,False,40.669975
51,1283.3650793650793,1779.313492063492,252.0,49.02381134033203,187.0,46.0,1.2054054865266162,False,40.669975
52,1282.8,1342.4,105.0,49.43809509277344,137.0,49.0,1.2155919631492704,False,40.669975
53,1285.6462585034014,1535.1972789115646,294.0,41.00340270996094,123.0,38.0,1.0081983681302344,False,40.669975
54,1285.981981981982,1516.4324324324325,111.0,35.225223541259766,114.0,35.0,0.866123554245741,False,40.669975
55,1285.797142857143,1323.9942857142858,350.0,49.36571502685547,149.0,45.0,1.213812270257443,False,40.669975
56,1286.6942148760331,1378.685950413223,121.0,41.76033020019531,156.0,36.0,1.0268098249852975,False,40.669975
57,1290.3333333333333,1550.5416666666667,120.0,45.29166793823242,115.0,43.0,1.1136389345104156,False,40.669975
58,1289.9157212317666,1572.9546191247973,617.0,44.596435546875,167.0,41.0,1.0965444468310417,False,40.669975
59,1287.9084507042253,1398.661971830986,142.0,46.04929733276367,160.0,40.5,1.1322676499030615,False,40.669975
